Filename,ntrees,standardize_data,sample_size,ncols_per_tree
CastMetal1,512,FALSE,0.1,def
CostaMadre1,512,FALSE,0.1,def
CostaMadre1,512,FALSE,auto,0.9
KnuggetChase3,256,FALSE,auto,def
KnuggetChase3,256,TRUE,0.1,def
KnuggetChase3,256,TRUE,auto,0.9
KnuggetChase3,256,FALSE,auto,def
KnuggetChase3,256,TRUE,0.1,def
KnuggetChase3,256,TRUE,auto,0.9
KungChi3,256,FALSE,auto,def
KungChi3,256,TRUE,0.1,def
KungChi3,256,TRUE,auto,0.9
MeanWhile1,128,FALSE,auto,def
MeanWhile1,128,TRUE,0.1,def
MeanWhile1,128,TRUE,auto,0.9
PieChart1,512,TRUE,0.1,0.9
PieChart1,512,FALSE,0.1,def
PieChart1,512,FALSE,auto,0.9
PieChart2,512,FALSE,0.1,def
PieChart2,512,FALSE,auto,0.9
PieChart3,512,TRUE,0.2,0.9
PieChart3,512,TRUE,0.1,0.9
PizzaCutter1,512,FALSE,auto,0.9
PizzaCutter3,512,FALSE,0.1,def
PizzaCutter3,512,FALSE,auto,0.9
PizzaCutter3,512,FALSE,0.1,def
PizzaCutter3,512,FALSE,auto,0.9
analcatdata_apnea1,512,FALSE,0.1,def
analcatdata_apnea1,512,FALSE,auto,0.9
analcatdata_apnea1,512,FALSE,0.1,def
analcatdata_apnea1,512,FALSE,auto,0.9
analcatdata_apnea2,512,FALSE,0.1,def
analcatdata_apnea2,512,FALSE,auto,0.9
analcatdata_apnea2,256,FALSE,auto,def
analcatdata_apnea2,256,TRUE,0.1,def
analcatdata_apnea2,256,TRUE,auto,0.9
analcatdata_challenger,32,FALSE,auto,def
analcatdata_challenger,32,TRUE,0.1,def
analcatdata_challenger,32,TRUE,auto,0.9
analcatdata_chlamydia,512,FALSE,0.1,def
analcatdata_chlamydia,512,FALSE,auto,0.9
analcatdata_chlamydia,512,FALSE,0.1,def
analcatdata_chlamydia,512,FALSE,auto,0.9
analcatdata_lawsuit,256,FALSE,auto,def
analcatdata_lawsuit,256,TRUE,0.1,def
analcatdata_lawsuit,256,TRUE,auto,0.9
analcatdata_neavote,256,FALSE,auto,def
analcatdata_neavote,256,TRUE,0.1,def
analcatdata_neavote,256,TRUE,auto,0.9
annthyroid,64,FALSE,auto,def
annthyroid,64,TRUE,0.1,def
annthyroid,64,TRUE,auto,0.9
annthyroid,100,FALSE,auto,def
annthyroid,100,TRUE,0.1,def
annthyroid,100,TRUE,auto,0.9
ar3,256,FALSE,auto,def
ar3,256,TRUE,0.1,def
ar3,256,TRUE,auto,0.9
ar4,256,FALSE,auto,def
ar4,256,TRUE,0.1,def
ar4,256,TRUE,auto,0.9
ar4,256,FALSE,auto,def
ar4,256,TRUE,0.1,def
ar4,256,TRUE,auto,0.9
ar6,256,FALSE,auto,def
ar6,256,TRUE,0.1,def
ar6,256,TRUE,auto,0.8
ar6,128,FALSE,auto,def
ar6,128,TRUE,0.1,def
ar6,128,TRUE,auto,0.9
arsenic-female-bladder,512,TRUE,0.1,0.9
arsenic-female-lung,256,FALSE,auto,def
arsenic-female-lung,256,TRUE,0.1,def
arsenic-female-lung,256,TRUE,auto,0.8
arsenic-male-bladder,128,FALSE,auto,def
arsenic-male-bladder,128,TRUE,0.1,def
arsenic-male-bladder,128,TRUE,auto,0.9
arsenic-male-lung,128,FALSE,auto,def
