Filename,ContaminationFraction,KernelScale,Lambda,NumExpansionDimensions,StandardizeData,BetaTolerance,GradientTolerance,IterationLimit,Parameter_Iteration,R0,R1,R2,R3,R4,R5,R6,R7,R8,R9
PizzaCutter1,0,1,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PizzaCutter1,0.05,1,auto,auto,0,0.0001,0.0001,1000,8,0.0941176470588235,0.0705882352941176,0.1176470588235294,0.0470588235294117,0.0941176470588235,0.0,0.0705882352941176,0.0235294117647058,0.0235294117647058,0.0705882352941176
PizzaCutter1,0.1,1,auto,auto,0,0.0001,0.0001,1000,8,0.135593220338983,0.0508474576271186,0.0508474576271186,0.1525423728813559,0.0677966101694915,0.0847457627118644,0.0847457627118644,0.0169491525423728,0.0338983050847457,0.0508474576271186
PizzaCutter1,0.15,1,auto,auto,0,0.0001,0.0001,1000,8,0.1324503311258278,0.0794701986754966,0.0264900662251655,0.0662251655629139,0.1059602649006622,0.1059602649006622,0.0927152317880794,0.0529801324503311,0.119205298013245,0.0264900662251655
PizzaCutter1,0.2,1,auto,auto,0,0.0001,0.0001,1000,8,0.108695652173913,0.1413043478260869,0.108695652173913,0.1304347826086956,0.108695652173913,0.108695652173913,0.0978260869565217,0.0869565217391304,0.0869565217391304,0.1847826086956521
PizzaCutter1,0.25,1,auto,auto,0,0.0001,0.0001,1000,8,0.1013824884792626,0.1013824884792626,0.184331797235023,0.1198156682027649,0.1290322580645161,0.1013824884792626,0.0921658986175115,0.1382488479262672,0.1013824884792626,0.0737327188940092
PizzaCutter1,LOF,1,auto,auto,0,0.0001,0.0001,1000,8,0.0625,0.03125,0.03125,0.0,0.0,0.09375,0.03125,0.03125,0.0,0.0625
PizzaCutter1,IF,1,auto,auto,0,0.0001,0.0001,1000,8,0.1391304347826087,0.1043478260869565,0.0695652173913043,0.1217391304347826,0.0869565217391304,0.017391304347826,0.0521739130434782,0.0869565217391304,0.0347826086956521,0.0695652173913043
PizzaCutter1,0,auto,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PizzaCutter1,0,0.01,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PizzaCutter1,0,0.05,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PizzaCutter1,0,0.1,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PizzaCutter1,0,0.2,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PizzaCutter1,0,0.5,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PizzaCutter1,0,2,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PizzaCutter1,0,5,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PizzaCutter1,0,1,0.01,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PizzaCutter1,0,1,0.05,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PizzaCutter1,0,1,0.1,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PizzaCutter1,0,1,0.2,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PizzaCutter1,0,1,0.5,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PizzaCutter1,0,1,1,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PizzaCutter1,0,1,2,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PizzaCutter1,0,1,5,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PizzaCutter1,0,1,auto,auto,1,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PizzaCutter1,0,1,auto,auto,0,0.01,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PizzaCutter1,0,1,auto,auto,0,0.001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PizzaCutter1,0,1,auto,auto,0,1e-05,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PizzaCutter1,0,1,auto,auto,0,0.0001,0.001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PizzaCutter1,0,1,auto,auto,0,0.0001,1e-05,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PizzaCutter1,0,1,auto,auto,0,0.0001,1e-06,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PizzaCutter1,0,1,auto,auto,0,0.0001,0.0001,100,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PizzaCutter1,0,1,auto,auto,0,0.0001,0.0001,200,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PizzaCutter1,0,1,auto,auto,0,0.0001,0.0001,500,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PizzaCutter1,0,1,auto,auto,0,0.0001,0.0001,2000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PizzaCutter1,IF,auto,auto,auto,0,0.0001,0.0001,1000,8,0.2608695652173913,0.2608695652173913,0.2608695652173913,0.2608695652173913,0.2608695652173913,0.2608695652173913,0.2608695652173913,0.2608695652173913,0.2608695652173913,0.2608695652173913
PizzaCutter1,IF,0.01,auto,auto,0,0.0001,0.0001,1000,8,0.1043478260869565,0.0521739130434782,0.1739130434782608,0.0521739130434782,0.1043478260869565,0.0869565217391304,0.1043478260869565,0.0695652173913043,0.1391304347826087,0.0869565217391304
PizzaCutter1,IF,0.05,auto,auto,0,0.0001,0.0001,1000,8,0.0869565217391304,0.1043478260869565,0.1217391304347826,0.017391304347826,0.0695652173913043,0.1043478260869565,0.1217391304347826,0.0521739130434782,0.0869565217391304,0.1217391304347826
PizzaCutter1,IF,0.1,auto,auto,0,0.0001,0.0001,1000,8,0.0521739130434782,0.0869565217391304,0.0521739130434782,0.0695652173913043,0.017391304347826,0.017391304347826,0.0347826086956521,0.0521739130434782,0.0869565217391304,0.1043478260869565
PizzaCutter1,IF,0.2,auto,auto,0,0.0001,0.0001,1000,8,0.0347826086956521,0.0695652173913043,0.1043478260869565,0.0869565217391304,0.0347826086956521,0.1043478260869565,0.0347826086956521,0.0521739130434782,0.0521739130434782,0.0521739130434782
PizzaCutter1,IF,0.5,auto,auto,0,0.0001,0.0001,1000,8,0.0695652173913043,0.0869565217391304,0.0869565217391304,0.1391304347826087,0.1043478260869565,0.0869565217391304,0.0869565217391304,0.0695652173913043,0.0869565217391304,0.0869565217391304
PizzaCutter1,IF,2,auto,auto,0,0.0001,0.0001,1000,8,0.0869565217391304,0.0869565217391304,0.1043478260869565,0.1739130434782608,0.1565217391304348,0.0695652173913043,0.0869565217391304,0.0869565217391304,0.0869565217391304,0.0521739130434782
PizzaCutter1,IF,5,auto,auto,0,0.0001,0.0001,1000,8,0.1217391304347826,0.0695652173913043,0.0347826086956521,0.1565217391304348,0.0869565217391304,0.0869565217391304,0.1217391304347826,0.0695652173913043,0.0869565217391304,0.0695652173913043
PizzaCutter1,IF,1,0.01,auto,0,0.0001,0.0001,1000,8,0.0695652173913043,0.1043478260869565,0.0695652173913043,0.0521739130434782,0.0869565217391304,0.1043478260869565,0.0521739130434782,0.0869565217391304,0.0869565217391304,0.0695652173913043
PizzaCutter1,IF,1,0.05,auto,0,0.0001,0.0001,1000,8,0.0869565217391304,0.0869565217391304,0.1739130434782608,0.1565217391304348,0.1043478260869565,0.0695652173913043,0.0347826086956521,0.0869565217391304,0.1217391304347826,0.0695652173913043
PizzaCutter1,IF,1,0.1,auto,0,0.0001,0.0001,1000,8,0.1217391304347826,0.1043478260869565,0.0695652173913043,0.0347826086956521,0.0869565217391304,0.1043478260869565,0.0695652173913043,0.0347826086956521,0.0695652173913043,0.0347826086956521
