Filename,ContaminationFraction,KernelScale,Lambda,NumExpansionDimensions,StandardizeData,BetaTolerance,GradientTolerance,IterationLimit,Parameter_Iteration,R0,R1,R2,R3,R4,R5,R6,R7,R8,R9
ar3,0,1,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ar3,0.05,1,auto,auto,0,0.0001,0.0001,1000,8,0.3636363636363636,0.0,0.0,0.0,0.1818181818181818,0.0,0.0,0.0,0.0,0.1818181818181818
ar3,0.1,1,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.1428571428571428,0.1428571428571428,0.0,0.1428571428571428,0.1428571428571428,0.4285714285714285,0.1428571428571428,0.0,0.0
ar3,0.15,1,auto,auto,0,0.0001,0.0001,1000,8,0.1176470588235294,0.2352941176470588,0.2352941176470588,0.1176470588235294,0.2352941176470588,0.0,0.1176470588235294,0.1176470588235294,0.1176470588235294,0.1176470588235294
ar3,0.2,1,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0952380952380952,0.1904761904761905,0.0952380952380952,0.1904761904761905,0.0952380952380952,0.2857142857142857,0.0952380952380952,0.0952380952380952,0.0952380952380952
ar3,0.25,1,auto,auto,0,0.0001,0.0001,1000,8,0.1666666666666666,0.1666666666666666,0.25,0.0833333333333333,0.1666666666666666,0.1666666666666666,0.0833333333333333,0.1666666666666666,0.1666666666666666,0.1666666666666666
ar3,LOF,1,auto,auto,0,0.0001,0.0001,1000,8,0.1875,0.25,0.25,0.25,0.25,0.25,0.25,0.125,0.125,0.125
ar3,IF,1,auto,auto,0,0.0001,0.0001,1000,8,0.1111111111111111,0.3333333333333332,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.3333333333333332,0.2222222222222222,0.1111111111111111,0.2222222222222222
ar3,0,auto,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ar3,0,0.01,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ar3,0,0.05,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ar3,0,0.1,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ar3,0,0.2,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ar3,0,0.5,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ar3,0,2,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ar3,0,5,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ar3,0,1,0.01,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ar3,0,1,0.05,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ar3,0,1,0.1,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ar3,0,1,0.2,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ar3,0,1,0.5,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ar3,0,1,1,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ar3,0,1,2,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ar3,0,1,5,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ar3,0,1,auto,auto,1,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ar3,0,1,auto,auto,0,0.01,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ar3,0,1,auto,auto,0,0.001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ar3,0,1,auto,auto,0,1e-05,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ar3,0,1,auto,auto,0,0.0001,0.001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ar3,0,1,auto,auto,0,0.0001,1e-05,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ar3,0,1,auto,auto,0,0.0001,1e-06,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ar3,0,1,auto,auto,0,0.0001,0.0001,100,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ar3,0,1,auto,auto,0,0.0001,0.0001,200,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ar3,0,1,auto,auto,0,0.0001,0.0001,500,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ar3,0,1,auto,auto,0,0.0001,0.0001,2000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ar3,IF,auto,auto,auto,0,0.0001,0.0001,1000,8,0.6666666666666665,0.5555555555555556,0.6666666666666665,0.6666666666666665,0.6666666666666665,0.6666666666666665,0.6666666666666665,0.6666666666666665,0.5555555555555556,0.6666666666666665
ar3,IF,0.01,auto,auto,0,0.0001,0.0001,1000,8,0.1111111111111111,0.3333333333333332,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.2222222222222222,0.0
ar3,IF,0.05,auto,auto,0,0.0001,0.0001,1000,8,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.2222222222222222,0.1111111111111111
ar3,IF,0.1,auto,auto,0,0.0001,0.0001,1000,8,0.3333333333333332,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.0,0.2222222222222222,0.3333333333333332
ar3,IF,0.2,auto,auto,0,0.0001,0.0001,1000,8,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.3333333333333332,0.1111111111111111,0.3333333333333332,0.1111111111111111,0.0
ar3,IF,0.5,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.2222222222222222,0.3333333333333332,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.3333333333333332
ar3,IF,2,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.2222222222222222,0.0,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.0,0.0
ar3,IF,5,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.2222222222222222,0.3333333333333332,0.1111111111111111,0.3333333333333332,0.2222222222222222,0.0,0.0,0.0,0.1111111111111111
ar3,IF,1,0.01,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.1111111111111111,0.0,0.3333333333333332,0.3333333333333332,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.1111111111111111
ar3,IF,1,0.05,auto,0,0.0001,0.0001,1000,8,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.0,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
ar3,IF,1,0.1,auto,0,0.0001,0.0001,1000,8,0.0,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.2222222222222222,0.0,0.2222222222222222,0.1111111111111111,0.0,0.2222222222222222
ar3,IF,1,0.2,auto,0,0.0001,0.0001,1000,8,0.0,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.0,0.1111111111111111,0.0,0.1111111111111111
ar3,IF,1,0.5,auto,0,0.0001,0.0001,1000,8,0.0,0.3333333333333332,0.0,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.3333333333333332,0.1111111111111111,0.1111111111111111
ar3,IF,1,1,auto,0,0.0001,0.0001,1000,8,0.2222222222222222,0.0,0.1111111111111111,0.3333333333333332,0.2222222222222222,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.3333333333333332
ar3,IF,1,2,auto,0,0.0001,0.0001,1000,8,0.0,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.0,0.2222222222222222,0.0,0.1111111111111111,0.0
ar3,IF,1,5,auto,0,0.0001,0.0001,1000,8,0.1111111111111111,0.3333333333333332,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.2222222222222222,0.0,0.3333333333333332,0.2222222222222222
ar3,IF,1,auto,auto,1,0.0001,0.0001,1000,8,0.1111111111111111,0.3333333333333332,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.3333333333333332,0.3333333333333332,0.0,0.1111111111111111,0.1111111111111111
