Filename,ContaminationFraction,KernelScale,Lambda,NumExpansionDimensions,StandardizeData,BetaTolerance,GradientTolerance,IterationLimit,Parameter_Iteration,R0,R1,R2,R3,R4,R5,R6,R7,R8,R9
bank-marketing,0,1,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bank-marketing,0.05,1,auto,auto,0,0.0001,0.0001,1000,8,0.0562248995983935,0.0615796519410977,0.072289156626506,0.0803212851405622,0.0749665327978581,0.0829986613119143,0.0696117804551539,0.0803212851405622,0.0696117804551539,0.0829986613119143
bank-marketing,0.1,1,auto,auto,0,0.0001,0.0001,1000,8,0.1130524152106885,0.1007194244604316,0.1171634121274409,0.1068859198355601,0.1253854059609455,0.119218910585817,0.08016443987667,0.1089414182939362,0.1109969167523124,0.0966084275436793
bank-marketing,0.15,1,auto,auto,0,0.0001,0.0001,1000,8,0.1234361968306922,0.1384487072560467,0.128440366972477,0.1317764804003336,0.1201000834028356,0.1050875729774812,0.1501251042535446,0.1301084236864053,0.1334445371142618,0.1634695579649708
bank-marketing,0.2,1,auto,auto,0,0.0001,0.0001,1000,8,0.1487719298245614,0.1529824561403508,0.1585964912280701,0.1221052631578947,0.1614035087719298,0.1333333333333333,0.1361403508771929,0.1445614035087719,0.151578947368421,0.1431578947368421
bank-marketing,0.25,1,auto,auto,0,0.0001,0.0001,1000,8,0.1538461538461538,0.1562689279224712,0.1574803149606299,0.161114476075106,0.1720169594185342,0.1514233797698364,0.1744397334948516,0.1586917019987886,0.1683827983040581,0.1744397334948516
bank-marketing,LOF,1,auto,auto,0,0.0001,0.0001,1000,8,0.06480117820324,0.0765832106038291,0.0353460972017673,0.0471281296023564,0.0530191458026509,0.0412371134020618,0.06480117820324,0.0559646539027982,0.0500736377025036,0.0471281296023564
bank-marketing,IF,1,auto,auto,0,0.0001,0.0001,1000,8,0.1709276844411979,0.1314828341855368,0.1358655953250548,0.1300219138056975,0.1607012417823228,0.1285609934258583,0.1621621621621621,0.137326515704894,0.1533966398831263,0.1460920379839298
bank-marketing,0,auto,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bank-marketing,0,0.01,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
