,Filename,ContaminationFraction,KernelScale,Lambda,NumExpansionDimensions,StandardizeData,BetaTolerance,GradientTolerance,IterationLimit,Parameter_Iteration,R0,R1,R2,R3,R4,R5,R6,R7,R8,R9
1155,fertility,0,1,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1156,fertility,0.05,1,auto,auto,0,0.0001,0.0001,1000,8,0.2352941176470588,0.1176470588235294,0.2352941176470588,0.0,0.0,0.1176470588235294,0.2352941176470588,0.1176470588235294,0.0,0.1176470588235294
1157,fertility,0.1,1,auto,auto,0,0.0001,0.0001,1000,8,0.1818181818181818,0.0,0.1818181818181818,0.0909090909090909,0.1818181818181818,0.0,0.1818181818181818,0.2727272727272727,0.0909090909090909,0.1818181818181818
1158,fertility,0.15,1,auto,auto,0,0.0001,0.0001,1000,8,0.2222222222222222,0.2962962962962963,0.2962962962962963,0.2962962962962963,0.1481481481481481,0.2222222222222222,0.2962962962962963,0.2962962962962963,0.2962962962962963,0.1481481481481481
1159,fertility,0.2,1,auto,auto,0,0.0001,0.0001,1000,8,0.1874999999999999,0.1874999999999999,0.1874999999999999,0.1874999999999999,0.125,0.25,0.25,0.1874999999999999,0.1874999999999999,0.125
1160,fertility,0.25,1,auto,auto,0,0.0001,0.0001,1000,8,0.2162162162162162,0.2702702702702703,0.2162162162162162,0.2702702702702703,0.2162162162162162,0.2162162162162162,0.1621621621621621,0.2702702702702703,0.1621621621621621,0.1621621621621621
1161,fertility,LOF,1,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1162,fertility,IF,1,auto,auto,0,0.0001,0.0001,1000,8,0.3103448275862069,0.2413793103448276,0.2068965517241379,0.1724137931034483,0.1724137931034483,0.2068965517241379,0.2758620689655172,0.3448275862068966,0.1379310344827586,0.2758620689655172
1163,fertility,0,auto,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1164,fertility,0,0.01,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1165,fertility,0,0.05,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1166,fertility,0,0.1,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1167,fertility,0,0.2,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1168,fertility,0,0.5,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1169,fertility,0,2,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1170,fertility,0,5,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1171,fertility,0,1,0.01,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1172,fertility,0,1,0.05,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1173,fertility,0,1,0.1,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1174,fertility,0,1,0.2,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1175,fertility,0,1,0.5,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
