,Filename,ContaminationFraction,KernelScale,Lambda,NumExpansionDimensions,StandardizeData,BetaTolerance,GradientTolerance,IterationLimit,Parameter_Iteration,R0,R1,R2,R3,R4,R5,R6,R7,R8,R9
1190,flare,0,1,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1191,flare,0.05,1,auto,auto,0,0.0001,0.0001,1000,8,0.1446808510638298,0.1617021276595744,0.1531914893617021,0.1361702127659574,0.1702127659574468,0.1623931623931624,0.1446808510638298,0.1367521367521367,0.1191489361702127,0.1702127659574468
1192,flare,0.1,1,auto,auto,0,0.0001,0.0001,1000,8,0.2283737024221453,0.2214532871972318,0.2076124567474048,0.2291666666666666,0.2006920415224913,0.2629757785467128,0.2491349480968857,0.2076124567474048,0.2837370242214533,0.2145328719723183
1193,flare,0.15,1,auto,auto,0,0.0001,0.0001,1000,8,0.2932551319648093,0.3,0.2982456140350877,0.2831858407079646,0.2764705882352941,0.2639296187683285,0.2631578947368421,0.2463343108504398,0.2873900293255131,0.288235294117647
1194,flare,0.2,1,auto,auto,0,0.0001,0.0001,1000,8,0.2871794871794872,0.3025641025641025,0.3002544529262086,0.2900763358778626,0.3037974683544304,0.3096446700507614,0.3197969543147208,0.2857142857142857,0.2987341772151899,0.3214285714285714
1195,flare,0.25,1,auto,auto,0,0.0001,0.0001,1000,8,0.3243243243243243,0.2825112107623318,0.3228699551569506,0.3219954648526077,0.3108108108108108,0.3628117913832199,0.3136363636363636,0.3146067415730337,0.348993288590604,0.3526785714285714
1196,flare,LOF,1,auto,auto,0,0.0001,0.0001,1000,8,0.3144963144963145,0.2982885085574571,0.291970802919708,0.3163017031630171,0.3178484107579462,0.3317073170731707,0.2985074626865672,0.3163017031630171,0.2962962962962963,0.2758620689655172
1197,flare,IF,1,auto,auto,0,0.0001,0.0001,1000,8,0.293040293040293,0.2881646655231561,0.2808219178082191,0.3243243243243243,0.2529118136439267,0.3,0.3149078726968174,0.2808219178082191,0.278829604130809,0.3042735042735043
1198,flare,0,auto,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1199,flare,0,0.01,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1200,flare,0,0.05,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1201,flare,0,0.1,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1202,flare,0,0.2,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1203,flare,0,0.5,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1204,flare,0,2,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1205,flare,0,5,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1206,flare,0,1,0.01,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1207,flare,0,1,0.05,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1208,flare,0,1,0.1,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1209,flare,0,1,0.2,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
