,Filename,ContaminationFraction,KernelScale,Lambda,NumExpansionDimensions,StandardizeData,BetaTolerance,GradientTolerance,IterationLimit,Parameter_Iteration,R0,R1,R2,R3,R4,R5,R6,R7,R8,R9
1225,glass,0,1,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1226,glass,0.05,1,auto,auto,0,0.0001,0.0001,1000,8,0.1999999999999999,0.0999999999999999,0.1999999999999999,0.1999999999999999,0.1999999999999999,0.0999999999999999,0.0,0.1999999999999999,0.1999999999999999,0.0999999999999999
1227,glass,0.1,1,auto,auto,0,0.0001,0.0001,1000,8,0.1333333333333333,0.1333333333333333,0.1333333333333333,0.2,0.1333333333333333,0.2,0.2666666666666666,0.2,0.2,0.2666666666666666
1228,glass,0.15,1,auto,auto,0,0.0001,0.0001,1000,8,0.1951219512195122,0.2439024390243902,0.1951219512195122,0.1951219512195122,0.2439024390243902,0.2926829268292683,0.2439024390243902,0.2439024390243902,0.1463414634146341,0.1951219512195122
1229,glass,0.2,1,auto,auto,0,0.0001,0.0001,1000,8,0.1923076923076923,0.2307692307692307,0.1923076923076923,0.1923076923076923,0.1923076923076923,0.2692307692307693,0.1923076923076923,0.2307692307692307,0.1923076923076923,0.1923076923076923
1230,glass,0.25,1,auto,auto,0,0.0001,0.0001,1000,8,0.2258064516129032,0.1935483870967742,0.1935483870967742,0.2258064516129032,0.1935483870967742,0.2580645161290322,0.2903225806451613,0.2580645161290322,0.2580645161290322,0.1935483870967742
1231,glass,LOF,1,auto,auto,0,0.0001,0.0001,1000,8,0.2173913043478261,0.2173913043478261,0.2173913043478261,0.2173913043478261,0.2173913043478261,0.2173913043478261,0.2173913043478261,0.2173913043478261,0.2173913043478261,0.2173913043478261
1232,glass,IF,1,auto,auto,0,0.0001,0.0001,1000,8,0.1333333333333333,0.2,0.2666666666666666,0.2666666666666666,0.2666666666666666,0.2,0.2,0.2,0.2666666666666666,0.1333333333333333
1233,glass,0,auto,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1234,glass,0,0.01,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1235,glass,0,0.05,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1236,glass,0,0.1,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1237,glass,0,0.2,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1238,glass,0,0.5,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1239,glass,0,2,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1240,glass,0,5,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1241,glass,0,1,0.01,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1242,glass,0,1,0.05,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1243,glass,0,1,0.1,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1244,glass,0,1,0.2,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1245,glass,0,1,0.5,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1246,glass,0,1,1,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
