,Filename,ContaminationFraction,KernelScale,Lambda,NumExpansionDimensions,StandardizeData,BetaTolerance,GradientTolerance,IterationLimit,Parameter_Iteration,R0,R1,R2,R3,R4,R5,R6,R7,R8,R9
2065,mnist,0,1,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2066,mnist,0.05,1,auto,auto,0,0.0001,0.0001,1000,8,0.074074074074074,0.0574074074074074,0.0962962962962963,0.1037037037037037,0.0666666666666666,0.0796296296296296,0.0814814814814814,0.0611111111111111,0.0592592592592592,0.0611111111111111
2067,mnist,0.1,1,auto,auto,0,0.0001,0.0001,1000,8,0.0794520547945205,0.0835616438356164,0.1054794520547945,0.0890410958904109,0.073972602739726,0.1027397260273972,0.084931506849315,0.0780821917808219,0.1041095890410958,0.1027397260273972
2068,mnist,0.15,1,auto,auto,0,0.0001,0.0001,1000,8,0.1130434782608695,0.1043478260869565,0.1108695652173913,0.1184782608695652,0.1315217391304347,0.1195652173913043,0.1043478260869565,0.1195652173913043,0.1021739130434782,0.1032608695652173
2069,mnist,0.2,1,auto,auto,0,0.0001,0.0001,1000,8,0.1233678523187753,0.1251688428635749,0.1215668617739756,0.1278703286807744,0.1377757766771724,0.129671319225574,0.129671319225574,0.1224673570463755,0.1332733003151733,0.1278703286807744
2070,mnist,0.25,1,auto,auto,0,0.0001,0.0001,1000,8,0.1530180699730872,0.1237985390234525,0.1468665897731641,0.1368704344482891,0.1291810841983852,0.1484044598231449,0.1299500192233756,0.1314878892733564,0.1299500192233756,0.1253364090734333
2071,mnist,LOF,1,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0056577086280056,0.0,0.0,0.0056577086280056,0.0056577086280056,0.0,0.0028288543140028,0.0,0.0
2072,mnist,IF,1,auto,auto,0,0.0001,0.0001,1000,8,0.125,0.1282467532467532,0.1201298701298701,0.1274350649350649,0.1298701298701298,0.135551948051948,0.1241883116883117,0.135551948051948,0.148538961038961,0.122564935064935
2073,mnist,0,auto,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2074,mnist,0,0.01,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2075,mnist,0,0.05,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2076,mnist,0,0.1,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2077,mnist,0,0.2,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2078,mnist,0,0.5,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2079,mnist,0,2,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2080,mnist,0,5,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2081,mnist,0,1,0.01,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2082,mnist,0,1,0.05,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
