,Filename,ContaminationFraction,KernelScale,Lambda,NumExpansionDimensions,StandardizeData,BetaTolerance,GradientTolerance,IterationLimit,Parameter_Iteration,R0,R1,R2,R3,R4,R5,R6,R7,R8,R9
1575,satellite,0,1,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1576,satellite,0.05,1,auto,auto,0,0.0001,0.0001,1000,8,0.089058524173028,0.0882103477523325,0.0763358778625954,0.1077184054283291,0.0797285835453774,0.0949957591178965,0.0916030534351144,0.0856658184902459,0.0771840542832909,0.0822731128074639
1577,satellite,0.1,1,auto,auto,0,0.0001,0.0001,1000,8,0.1358715938783128,0.1552818215752146,0.1500559910414333,0.137364688316536,0.1620007465472191,0.1440836132885405,0.1284061216871967,0.1403508771929824,0.158268010451661,0.1448301605076521
1578,satellite,0.15,1,auto,auto,0,0.0001,0.0001,1000,8,0.214595134955015,0.2045984671776074,0.1992669110296568,0.2085971342885704,0.1986004665111629,0.1986004665111629,0.2065978007330889,0.2092635788070643,0.2072642452515828,0.1979340219926691
1579,satellite,0.2,1,auto,auto,0,0.0001,0.0001,1000,8,0.2588022870899789,0.2287089978934697,0.2281071321095396,0.2389407162202829,0.2299127294613301,0.2377369846524225,0.2275052663256094,0.2545892266024676,0.2383388504363526,0.232922058380981
1580,satellite,0.25,1,auto,auto,0,0.0001,0.0001,1000,8,0.2710562414266118,0.2677640603566529,0.2776406035665295,0.2792866941015089,0.2825788751714678,0.2754458161865569,0.283676268861454,0.2787379972565157,0.2770919067215363,0.2803840877914952
1581,satellite,LOF,1,auto,auto,0,0.0001,0.0001,1000,8,0.0332256575911398,0.0369173973234886,0.0396862021227503,0.0378403322565759,0.0396862021227503,0.0378403322565759,0.0415320719889247,0.0489155514536225,0.0415320719889247,0.0415320719889247
1582,satellite,IF,1,auto,auto,0,0.0001,0.0001,1000,8,0.2245749117741418,0.2111004170676933,0.2367661212704523,0.2123837022778312,0.2130253448829002,0.2367661212704523,0.2098171318575553,0.2200834135386589,0.2239332691690728,0.2143086300930382
1583,satellite,0,auto,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1584,satellite,0,0.01,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1585,satellite,0,0.05,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1586,satellite,0,0.1,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1587,satellite,0,0.2,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1588,satellite,0,0.5,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1589,satellite,0,2,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1590,satellite,0,5,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1591,satellite,0,1,0.01,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1592,satellite,0,1,0.05,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1593,satellite,0,1,0.1,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1594,satellite,0,1,0.2,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1595,satellite,0,1,0.5,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1596,satellite,0,1,1,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1597,satellite,0,1,2,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1598,satellite,0,1,5,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1599,satellite,0,1,auto,auto,1,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1600,satellite,0,1,auto,auto,0,0.01,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1601,satellite,0,1,auto,auto,0,0.001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1602,satellite,0,1,auto,auto,0,1e-05,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1603,satellite,0,1,auto,auto,0,0.0001,0.001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1604,satellite,0,1,auto,auto,0,0.0001,1e-05,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1605,satellite,0,1,auto,auto,0,0.0001,1e-06,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1606,satellite,0,1,auto,auto,0,0.0001,0.0001,100,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1607,satellite,0,1,auto,auto,0,0.0001,0.0001,200,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1608,satellite,0,1,auto,auto,0,0.0001,0.0001,500,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1609,satellite,0,1,auto,auto,0,0.0001,0.0001,2000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4051,satellite,IF,auto,auto,auto,0,0.0001,0.0001,1000,8,0.5684953480911134,0.5723452037215271,0.5838947706127687,0.576195059351941,0.572986846326596,0.5684953480911134,0.5749117741418031,0.5781199871671479,0.5819698427975618,0.5813282001924928
4052,satellite,IF,0.01,auto,auto,0,0.0001,0.0001,1000,8,0.2149502726981071,0.2232916265640038,0.2040423484119345,0.2239332691690728,0.21944177093359,0.2143086300930382,0.2091754892524863,0.217516843118383,0.2220083413538659,0.2136669874879692
4053,satellite,IF,0.05,auto,auto,0,0.0001,0.0001,1000,8,0.2252165543792107,0.2335579082451075,0.2168752005133141,0.2155919153031761,0.2053256336220724,0.218158485723452,0.2200834135386589,0.2085338466474174,0.2290664100096246,0.217516843118383
4054,satellite,IF,0.1,auto,auto,0,0.0001,0.0001,1000,8,0.2245749117741418,0.2303496952197626,0.21944177093359,0.2220083413538659,0.2245749117741418,0.2162335579082451,0.2354828360603144,0.2155919153031761,0.217516843118383,0.246390760346487
4055,satellite,IF,0.2,auto,auto,0,0.0001,0.0001,1000,8,0.2335579082451075,0.2290664100096246,0.2290664100096246,0.2290664100096246,0.2303496952197626,0.2104587744626243,0.21944177093359,0.2226499839589348,0.2117420596727622,0.2162335579082451
4056,satellite,IF,0.5,auto,auto,0,0.0001,0.0001,1000,8,0.2374077638755213,0.1976259223612448,0.2284247674045557,0.2104587744626243,0.2226499839589348,0.2143086300930382,0.2155919153031761,0.2130253448829002,0.2258581969842797,0.2264998395893487
4057,satellite,IF,2,auto,auto,0,0.0001,0.0001,1000,8,0.2200834135386589,0.218158485723452,0.2226499839589348,0.2149502726981071,0.2155919153031761,0.2136669874879692,0.2239332691690728,0.2232916265640038,0.2149502726981071,0.218800128328521
