,Filename,ContaminationFraction,KernelScale,Lambda,NumExpansionDimensions,StandardizeData,BetaTolerance,GradientTolerance,IterationLimit,Parameter_Iteration,R0,R1,R2,R3,R4,R5,R6,R7,R8,R9
1610,satimage-2,0,1,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1611,satimage-2,0.05,1,auto,auto,0,0.0001,0.0001,1000,8,0.0055401662049861,0.0221606648199446,0.0110803324099723,0.0332409972299169,0.0221606648199446,0.0166204986149584,0.0221606648199446,0.0277008310249307,0.0110803324099723,0.0277008310249307
1612,satimage-2,0.1,1,auto,auto,0,0.0001,0.0001,1000,8,0.0337941628264208,0.0276497695852534,0.0184331797235023,0.0153609831029185,0.0184331797235023,0.0245775729646697,0.0184331797235023,0.0245775729646697,0.0153609831029185,0.0184331797235023
1613,satimage-2,0.15,1,auto,auto,0,0.0001,0.0001,1000,8,0.0255047821466524,0.0382571732199787,0.0233793836344314,0.0191285866099893,0.0233793836344314,0.0233793836344314,0.0148777895855472,0.0212539851222104,0.0255047821466524,0.0191285866099893
1614,satimage-2,0.2,1,auto,auto,0,0.0001,0.0001,1000,8,0.0227272727272727,0.0275974025974026,0.0227272727272727,0.0243506493506493,0.0162337662337662,0.0194805194805194,0.0324675324675324,0.0275974025974026,0.0243506493506493,0.0178571428571428
1615,satimage-2,0.25,1,auto,auto,0,0.0001,0.0001,1000,8,0.0236530880420499,0.0210249671484888,0.0197109067017082,0.0236530880420499,0.026281208935611,0.0210249671484888,0.026281208935611,0.0328515111695138,0.0118265440210249,0.026281208935611
1616,satimage-2,LOF,1,auto,auto,0,0.0001,0.0001,1000,8,0.0191387559808612,0.0191387559808612,0.0095693779904306,0.0191387559808612,0.0287081339712918,0.0191387559808612,0.0191387559808612,0.0191387559808612,0.0,0.0095693779904306
1617,satimage-2,IF,1,auto,auto,0,0.0001,0.0001,1000,8,0.0154798761609907,0.0154798761609907,0.0247678018575851,0.0309597523219814,0.0247678018575851,0.0185758513931888,0.0309597523219814,0.0216718266253869,0.0216718266253869,0.0371517027863777
1618,satimage-2,0,auto,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1619,satimage-2,0,0.01,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1620,satimage-2,0,0.05,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1621,satimage-2,0,0.1,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1622,satimage-2,0,0.2,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1623,satimage-2,0,0.5,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1624,satimage-2,0,2,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1625,satimage-2,0,5,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1626,satimage-2,0,1,0.01,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1627,satimage-2,0,1,0.05,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1628,satimage-2,0,1,0.1,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1629,satimage-2,0,1,0.2,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1630,satimage-2,0,1,0.5,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1631,satimage-2,0,1,1,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1632,satimage-2,0,1,2,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1633,satimage-2,0,1,5,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1634,satimage-2,0,1,auto,auto,1,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1635,satimage-2,0,1,auto,auto,0,0.01,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1636,satimage-2,0,1,auto,auto,0,0.001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1637,satimage-2,0,1,auto,auto,0,1e-05,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1638,satimage-2,0,1,auto,auto,0,0.0001,0.001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1639,satimage-2,0,1,auto,auto,0,0.0001,1e-05,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1640,satimage-2,0,1,auto,auto,0,0.0001,1e-06,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1641,satimage-2,0,1,auto,auto,0,0.0001,0.0001,100,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1642,satimage-2,0,1,auto,auto,0,0.0001,0.0001,200,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1643,satimage-2,0,1,auto,auto,0,0.0001,0.0001,500,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1644,satimage-2,0,1,auto,auto,0,0.0001,0.0001,2000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4078,satimage-2,IF,auto,auto,auto,0,0.0001,0.0001,1000,8,0.21671826625387,0.2136222910216718,0.21671826625387,0.21671826625387,0.21671826625387,0.21671826625387,0.21671826625387,0.21671826625387,0.21671826625387,0.21671826625387
4079,satimage-2,IF,0.01,auto,auto,0,0.0001,0.0001,1000,8,0.0216718266253869,0.0185758513931888,0.0340557275541795,0.0402476780185758,0.0216718266253869,0.0123839009287925,0.0340557275541795,0.0216718266253869,0.0216718266253869,0.0154798761609907
4080,satimage-2,IF,0.05,auto,auto,0,0.0001,0.0001,1000,8,0.0309597523219814,0.0092879256965944,0.0309597523219814,0.0340557275541795,0.0216718266253869,0.0247678018575851,0.0216718266253869,0.0309597523219814,0.0185758513931888,0.0123839009287925
4081,satimage-2,IF,0.1,auto,auto,0,0.0001,0.0001,1000,8,0.0247678018575851,0.0030959752321981,0.0216718266253869,0.0247678018575851,0.0061919504643962,0.0123839009287925,0.0309597523219814,0.0247678018575851,0.0216718266253869,0.0216718266253869
4082,satimage-2,IF,0.2,auto,auto,0,0.0001,0.0001,1000,8,0.0185758513931888,0.0185758513931888,0.0371517027863777,0.0278637770897832,0.0092879256965944,0.0309597523219814,0.0185758513931888,0.0154798761609907,0.0154798761609907,0.0247678018575851
4083,satimage-2,IF,0.5,auto,auto,0,0.0001,0.0001,1000,8,0.0278637770897832,0.0154798761609907,0.0216718266253869,0.0154798761609907,0.0278637770897832,0.0154798761609907,0.0123839009287925,0.0247678018575851,0.0061919504643962,0.0154798761609907
4084,satimage-2,IF,2,auto,auto,0,0.0001,0.0001,1000,8,0.0154798761609907,0.0154798761609907,0.0092879256965944,0.0278637770897832,0.0216718266253869,0.0278637770897832,0.0371517027863777,0.0154798761609907,0.0154798761609907,0.0247678018575851
4085,satimage-2,IF,5,auto,auto,0,0.0001,0.0001,1000,8,0.0154798761609907,0.0247678018575851,0.0123839009287925,0.0154798761609907,0.0092879256965944,0.0278637770897832,0.0278637770897832,0.0061919504643962,0.0247678018575851,0.0216718266253869
4086,satimage-2,IF,1,0.01,auto,0,0.0001,0.0001,1000,8,0.0185758513931888,0.0247678018575851,0.0185758513931888,0.0309597523219814,0.0185758513931888,0.0340557275541795,0.0154798761609907,0.0278637770897832,0.0247678018575851,0.0185758513931888
4087,satimage-2,IF,1,0.05,auto,0,0.0001,0.0001,1000,8,0.0185758513931888,0.0278637770897832,0.0247678018575851,0.0185758513931888,0.0216718266253869,0.0247678018575851,0.0216718266253869,0.0340557275541795,0.0154798761609907,0.0309597523219814
4088,satimage-2,IF,1,0.1,auto,0,0.0001,0.0001,1000,8,0.0185758513931888,0.0247678018575851,0.0216718266253869,0.0123839009287925,0.0123839009287925,0.0309597523219814,0.0154798761609907,0.0247678018575851,0.0154798761609907,0.0185758513931888
4089,satimage-2,IF,1,0.2,auto,0,0.0001,0.0001,1000,8,0.0278637770897832,0.0340557275541795,0.0185758513931888,0.0216718266253869,0.0247678018575851,0.0278637770897832,0.0309597523219814,0.0185758513931888,0.0278637770897832,0.0185758513931888
4090,satimage-2,IF,1,0.5,auto,0,0.0001,0.0001,1000,8,0.0123839009287925,0.0340557275541795,0.0061919504643962,0.0185758513931888,0.0185758513931888,0.0154798761609907,0.0185758513931888,0.0185758513931888,0.0247678018575851,0.0247678018575851
4091,satimage-2,IF,1,1,auto,0,0.0001,0.0001,1000,8,0.0247678018575851,0.0278637770897832,0.0185758513931888,0.0185758513931888,0.0061919504643962,0.0309597523219814,0.0309597523219814,0.0247678018575851,0.0309597523219814,0.0092879256965944
4092,satimage-2,IF,1,2,auto,0,0.0001,0.0001,1000,8,0.0154798761609907,0.0216718266253869,0.0154798761609907,0.0061919504643962,0.0154798761609907,0.0247678018575851,0.0185758513931888,0.0247678018575851,0.0247678018575851,0.0216718266253869
4093,satimage-2,IF,1,5,auto,0,0.0001,0.0001,1000,8,0.0309597523219814,0.0216718266253869,0.0154798761609907,0.0309597523219814,0.0278637770897832,0.0185758513931888,0.0340557275541795,0.0185758513931888,0.0247678018575851,0.0154798761609907
4094,satimage-2,IF,1,auto,auto,1,0.0001,0.0001,1000,8,0.065015479876161,0.0804953560371517,0.0402476780185758,0.0495356037151702,0.0495356037151702,0.0464396284829721,0.0464396284829721,0.0557275541795665,0.0619195046439628,0.0526315789473684
4095,satimage-2,IF,1,auto,auto,0,0.01,0.0001,1000,8,0.0216718266253869,0.0154798761609907,0.0247678018575851,0.0092879256965944,0.0278637770897832,0.0154798761609907,0.0185758513931888,0.0371517027863777,0.0123839009287925,0.0216718266253869
4096,satimage-2,IF,1,auto,auto,0,0.001,0.0001,1000,8,0.0247678018575851,0.0185758513931888,0.0278637770897832,0.0247678018575851,0.0154798761609907,0.0185758513931888,0.0185758513931888,0.0123839009287925,0.0123839009287925,0.0278637770897832
4097,satimage-2,IF,1,auto,auto,0,1e-05,0.0001,1000,8,0.0092879256965944,0.0247678018575851,0.0464396284829721,0.0216718266253869,0.0340557275541795,0.0154798761609907,0.0154798761609907,0.0278637770897832,0.0216718266253869,0.0340557275541795
4098,satimage-2,IF,1,auto,auto,0,0.0001,0.001,1000,8,0.0340557275541795,0.0278637770897832,0.0185758513931888,0.0402476780185758,0.0278637770897832,0.0309597523219814,0.0216718266253869,0.0,0.0247678018575851,0.0247678018575851
4099,satimage-2,IF,1,auto,auto,0,0.0001,1e-05,1000,8,0.0216718266253869,0.0123839009287925,0.0092879256965944,0.0216718266253869,0.0247678018575851,0.0185758513931888,0.0216718266253869,0.0216718266253869,0.0247678018575851,0.0309597523219814
4100,satimage-2,IF,1,auto,auto,0,0.0001,1e-06,1000,8,0.0154798761609907,0.0123839009287925,0.0154798761609907,0.0247678018575851,0.0309597523219814,0.0154798761609907,0.0123839009287925,0.0247678018575851,0.0371517027863777,0.0278637770897832
4101,satimage-2,IF,1,auto,auto,0,0.0001,0.0001,100,8,0.0247678018575851,0.0278637770897832,0.0185758513931888,0.0309597523219814,0.0247678018575851,0.0309597523219814,0.0433436532507739,0.0309597523219814,0.0030959752321981,0.0278637770897832
4102,satimage-2,IF,1,auto,auto,0,0.0001,0.0001,200,8,0.0216718266253869,0.0185758513931888,0.0309597523219814,0.0247678018575851,0.0185758513931888,0.0123839009287925,0.0154798761609907,0.0185758513931888,0.0340557275541795,0.0247678018575851
4103,satimage-2,IF,1,auto,auto,0,0.0001,0.0001,500,8,0.0154798761609907,0.0123839009287925,0.0154798761609907,0.0216718266253869,0.0216718266253869,0.0123839009287925,0.0123839009287925,0.0371517027863777,0.0216718266253869,0.0216718266253869
4104,satimage-2,IF,1,auto,auto,0,0.0001,0.0001,2000,8,0.0185758513931888,0.0123839009287925,0.0185758513931888,0.0185758513931888,0.0216718266253869,0.0154798761609907,0.0185758513931888,0.0154798761609907,0.0278637770897832,0.0185758513931888
5265,satimage-2,IF,auto,0.01,auto,0,0.0001,0.0001,1000,8,0.21671826625387,0.21671826625387,0.2136222910216718,0.21671826625387,0.21671826625387,0.21671826625387,0.21671826625387,0.21671826625387,0.21671826625387,0.21671826625387
5266,satimage-2,IF,auto,0.05,auto,0,0.0001,0.0001,1000,8,0.21671826625387,0.21671826625387,0.21671826625387,0.21671826625387,0.2136222910216718,0.21671826625387,0.21671826625387,0.2136222910216718,0.21671826625387,0.2136222910216718
5267,satimage-2,IF,auto,0.1,auto,0,0.0001,0.0001,1000,8,0.21671826625387,0.21671826625387,0.21671826625387,0.21671826625387,0.21671826625387,0.21671826625387,0.21671826625387,0.21671826625387,0.21671826625387,0.21671826625387
5268,satimage-2,IF,auto,0.2,auto,0,0.0001,0.0001,1000,8,0.21671826625387,0.21671826625387,0.21671826625387,0.21671826625387,0.21671826625387,0.21671826625387,0.21671826625387,0.21671826625387,0.21671826625387,0.21671826625387
5269,satimage-2,IF,auto,0.5,auto,0,0.0001,0.0001,1000,8,0.21671826625387,0.21671826625387,0.21671826625387,0.21671826625387,0.21671826625387,0.21671826625387,0.21671826625387,0.21671826625387,0.21671826625387,0.21671826625387
5270,satimage-2,IF,auto,1,auto,0,0.0001,0.0001,1000,8,0.21671826625387,0.21671826625387,0.21671826625387,0.2136222910216718,0.21671826625387,0.21671826625387,0.2136222910216718,0.21671826625387,0.21671826625387,0.21671826625387
5271,satimage-2,IF,auto,2,auto,0,0.0001,0.0001,1000,8,0.21671826625387,0.21671826625387,0.21671826625387,0.2136222910216718,0.21671826625387,0.2136222910216718,0.21671826625387,0.21671826625387,0.2136222910216718,0.21671826625387
5272,satimage-2,IF,auto,5,auto,0,0.0001,0.0001,1000,8,0.21671826625387,0.21671826625387,0.21671826625387,0.21671826625387,0.21671826625387,0.21671826625387,0.21671826625387,0.21671826625387,0.21671826625387,0.21671826625387
5273,satimage-2,IF,auto,auto,auto,1,0.0001,0.0001,1000,8,0.21671826625387,0.21671826625387,0.21671826625387,0.2136222910216718,0.21671826625387,0.2136222910216718,0.2136222910216718,0.21671826625387,0.21671826625387,0.2136222910216718
5274,satimage-2,IF,auto,auto,auto,0,0.01,0.0001,1000,8,0.21671826625387,0.2136222910216718,0.21671826625387,0.2136222910216718,0.21671826625387,0.2136222910216718,0.2136222910216718,0.21671826625387,0.21671826625387,0.21671826625387
5275,satimage-2,IF,auto,auto,auto,0,0.001,0.0001,1000,8,0.2136222910216718,0.21671826625387,0.21671826625387,0.2136222910216718,0.21671826625387,0.2136222910216718,0.21671826625387,0.21671826625387,0.21671826625387,0.2136222910216718
5276,satimage-2,IF,auto,auto,auto,0,1e-05,0.0001,1000,8,0.21671826625387,0.21671826625387,0.21671826625387,0.21671826625387,0.21671826625387,0.21671826625387,0.21671826625387,0.21671826625387,0.21671826625387,0.2136222910216718
5277,satimage-2,IF,auto,auto,auto,0,0.0001,0.001,1000,8,0.2136222910216718,0.21671826625387,0.2136222910216718,0.21671826625387,0.2136222910216718,0.21671826625387,0.21671826625387,0.21671826625387,0.21671826625387,0.2136222910216718
5278,satimage-2,IF,auto,auto,auto,0,0.0001,1e-05,1000,8,0.21671826625387,0.21671826625387,0.21671826625387,0.2136222910216718,0.21671826625387,0.21671826625387,0.2136222910216718,0.21671826625387,0.2136222910216718,0.21671826625387
5279,satimage-2,IF,auto,auto,auto,0,0.0001,1e-06,1000,8,0.21671826625387,0.21671826625387,0.21671826625387,0.21671826625387,0.21671826625387,0.21671826625387,0.21671826625387,0.21671826625387,0.21671826625387,0.21671826625387
5280,satimage-2,IF,auto,auto,auto,0,0.0001,0.0001,100,8,0.2136222910216718,0.21671826625387,0.21671826625387,0.21671826625387,0.21671826625387,0.21671826625387,0.21671826625387,0.21671826625387,0.21671826625387,0.21671826625387
5281,satimage-2,IF,auto,auto,auto,0,0.0001,0.0001,200,8,0.21671826625387,0.21671826625387,0.21671826625387,0.21671826625387,0.21671826625387,0.21671826625387,0.2136222910216718,0.21671826625387,0.21671826625387,0.21671826625387
5282,satimage-2,IF,auto,auto,auto,0,0.0001,0.0001,500,8,0.21671826625387,0.21671826625387,0.21671826625387,0.21671826625387,0.21671826625387,0.2136222910216718,0.21671826625387,0.21671826625387,0.21671826625387,0.21671826625387
5283,satimage-2,IF,auto,auto,auto,0,0.0001,0.0001,2000,8,0.21671826625387,0.21671826625387,0.2136222910216718,0.21671826625387,0.21671826625387,0.21671826625387,0.21671826625387,0.21671826625387,0.21671826625387,0.21671826625387
5463,satimage-2,LOF,auto,1,auto,0,0.0001,0.0001,1000,8,0.6411483253588516,0.6411483253588516,0.6507177033492823,0.6507177033492823,0.6507177033492823,0.6507177033492823,0.6507177033492823,0.6602870813397129,0.6602870813397129,0.6507177033492823
5517,satimage-2,LOF,auto,auto,auto,0,0.0001,0.0001,1000,8,0.6602870813397129,0.6602870813397129,0.6602870813397129,0.6602870813397129,0.6602870813397129,0.6602870813397129,0.6602870813397129,0.6507177033492823,0.6602870813397129,0.6602870813397129
5676,satimage-2,IF,auto,auto,auto,1,1e-05,0.0001,1000,0,0.21671826625387,0.21671826625387,0.21671826625387,0.21671826625387,0.21671826625387,0.21671826625387,0.21671826625387,0.21671826625387,0.21671826625387,0.2136222910216718
5677,satimage-2,IF,auto,auto,auto,1,0.001,0.0001,1000,0,0.21671826625387,0.21671826625387,0.21671826625387,0.21671826625387,0.21671826625387,0.21671826625387,0.21671826625387,0.21671826625387,0.21671826625387,0.21671826625387
5678,satimage-2,IF,auto,auto,auto,1,0.0001,1e-05,1000,0,0.21671826625387,0.2136222910216718,0.21671826625387,0.21671826625387,0.21671826625387,0.2136222910216718,0.21671826625387,0.2136222910216718,0.21671826625387,0.21671826625387
5679,satimage-2,IF,auto,auto,auto,1,0.0001,0.001,1000,0,0.21671826625387,0.21671826625387,0.21671826625387,0.21671826625387,0.21671826625387,0.21671826625387,0.21671826625387,0.2136222910216718,0.21671826625387,0.21671826625387
5680,satimage-2,IF,auto,auto,auto,1,0.0001,0.0001,2000,0,0.21671826625387,0.21671826625387,0.2136222910216718,0.2136222910216718,0.21671826625387,0.21671826625387,0.21671826625387,0.21671826625387,0.2136222910216718,0.21671826625387
5681,satimage-2,IF,auto,auto,auto,1,0.0001,0.0001,500,0,0.21671826625387,0.2136222910216718,0.21671826625387,0.21671826625387,0.21671826625387,0.2136222910216718,0.21671826625387,0.21671826625387,0.21671826625387,0.21671826625387
5682,satimage-2,IF,auto,auto,auto,0,1e-05,1e-05,1000,0,0.21671826625387,0.21671826625387,0.21671826625387,0.2136222910216718,0.2136222910216718,0.21671826625387,0.21671826625387,0.21671826625387,0.21671826625387,0.21671826625387
5683,satimage-2,IF,auto,auto,auto,0,1e-05,0.001,1000,0,0.21671826625387,0.21671826625387,0.21671826625387,0.21671826625387,0.21671826625387,0.2136222910216718,0.21671826625387,0.21671826625387,0.2136222910216718,0.21671826625387
5684,satimage-2,IF,auto,auto,auto,0,1e-05,0.0001,2000,0,0.21671826625387,0.21671826625387,0.21671826625387,0.21671826625387,0.21671826625387,0.21671826625387,0.21671826625387,0.2136222910216718,0.21671826625387,0.21671826625387
