,Filename,ContaminationFraction,KernelScale,Lambda,NumExpansionDimensions,StandardizeData,BetaTolerance,GradientTolerance,IterationLimit,Parameter_Iteration,R0,R1,R2,R3,R4,R5,R6,R7,R8,R9
1680,thyroid,0,1,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1681,thyroid,0.05,1,auto,auto,0,0.0001,0.0001,1000,8,0.2695035460992908,0.1560283687943262,0.226950354609929,0.1702127659574468,0.2482269503546099,0.1702127659574468,0.2127659574468085,0.2127659574468085,0.1631205673758865,0.1631205673758865
1682,thyroid,0.1,1,auto,auto,0,0.0001,0.0001,1000,8,0.2297872340425532,0.2085106382978723,0.2212765957446808,0.2297872340425532,0.2382978723404255,0.1787234042553191,0.1446808510638297,0.2425531914893617,0.2425531914893617,0.1744680851063829
1683,thyroid,0.15,1,auto,auto,0,0.0001,0.0001,1000,8,0.1942336874051593,0.1972685887708649,0.1547799696509863,0.1851289833080424,0.2094081942336874,0.1911987860394537,0.2094081942336874,0.1608497723823975,0.1972685887708649,0.2033383915022762
1684,thyroid,0.2,1,auto,auto,0,0.0001,0.0001,1000,8,0.1558441558441558,0.1652892561983471,0.1511216056670602,0.1582054309327036,0.1582054309327036,0.1652892561983471,0.153482880755608,0.1487603305785124,0.1511216056670602,0.1605667060212514
1685,thyroid,0.25,1,auto,auto,0,0.0001,0.0001,1000,8,0.1563706563706563,0.1216216216216216,0.1447876447876448,0.137065637065637,0.1486486486486486,0.1332046332046332,0.1525096525096525,0.1544401544401544,0.1486486486486486,0.138996138996139
1686,thyroid,LOF,1,auto,auto,0,0.0001,0.0001,1000,8,0.1646090534979424,0.1810699588477366,0.2880658436213992,0.2139917695473251,0.1646090534979424,0.2222222222222222,0.279835390946502,0.2057613168724279,0.1893004115226337,0.2386831275720164
1687,thyroid,IF,1,auto,auto,0,0.0001,0.0001,1000,8,0.2368421052631578,0.1929824561403509,0.2675438596491228,0.2368421052631578,0.2324561403508772,0.2763157894736842,0.2368421052631578,0.1973684210526315,0.25,0.1228070175438596
1688,thyroid,0,auto,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1689,thyroid,0,0.01,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1690,thyroid,0,0.05,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1691,thyroid,0,0.1,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1692,thyroid,0,0.2,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1693,thyroid,0,0.5,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1694,thyroid,0,2,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1695,thyroid,0,5,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1696,thyroid,0,1,0.01,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1697,thyroid,0,1,0.05,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1698,thyroid,0,1,0.1,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1699,thyroid,0,1,0.2,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1700,thyroid,0,1,0.5,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1701,thyroid,0,1,1,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1702,thyroid,0,1,2,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1703,thyroid,0,1,5,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1704,thyroid,0,1,auto,auto,1,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1705,thyroid,0,1,auto,auto,0,0.01,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1706,thyroid,0,1,auto,auto,0,0.001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1707,thyroid,0,1,auto,auto,0,1e-05,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1708,thyroid,0,1,auto,auto,0,0.0001,0.001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
