Filename,kernel,degree,gamma,coef0,tolerance,nu,shrinking,cachesize,epsilon,Parameter_Iteration,R
PieChart3,linear,3,scale,0.0,0.001,0.5,True,200,0.1,0,0.1697877652933832
PieChart3,polynomial,3,scale,0.0,0.001,0.5,True,200,0.1,0,0.2359154929577465
PieChart3,radial,3,scale,0.0,0.001,0.5,True,200,0.1,0,0.0
PieChart3,sigmoid,3,scale,0.0,0.001,0.5,True,200,0.1,0,0.2453016815034619
PieChart3,radial,3,auto,0.0,0.001,0.5,True,200,0.1,0,0.1488095238095238
PieChart3,radial,3,scale,0.1,0.001,0.5,True,200,0.1,0,0.0
PieChart3,radial,3,scale,0.2,0.001,0.5,True,200,0.1,0,0.0
PieChart3,radial,3,scale,0.3,0.001,0.5,True,200,0.1,0,0.0
PieChart3,radial,3,scale,0.4,0.001,0.5,True,200,0.1,0,0.0
PieChart3,radial,3,scale,0.0,0.001,0.1,True,200,0.1,0,0.0
PieChart3,radial,3,scale,0.0,0.001,0.2,True,200,0.1,0,0.0
PieChart3,radial,3,scale,0.0,0.001,0.3,True,200,0.1,0,0.0
PieChart3,radial,3,scale,0.0,0.001,0.4,True,200,0.1,0,0.0
PieChart3,radial,3,scale,0.0,0.001,0.6,True,200,0.1,0,0.0
PieChart3,radial,3,scale,0.0,0.001,0.7,True,200,0.1,0,0.0
PieChart3,radial,3,scale,0.0,0.001,0.8,True,200,0.1,0,0.0
PieChart3,radial,3,scale,0.0,0.001,0.9,True,200,0.1,0,0.0
PieChart3,radial,3,scale,0.0,0.001,0.5,False,200,0.1,0,0.0
PieChart3,radial,3,scale,0.0,0.001,0.5,True,50,0.1,0,0.0
PieChart3,radial,3,scale,0.0,0.001,0.5,True,100,0.1,0,0.0
PieChart3,radial,3,scale,0.0,0.001,0.5,True,400,0.1,0,0.0
PieChart3,radial,3,scale,0.0,0.001,0.5,True,200,0.2,0,0.0
PieChart3,radial,3,scale,0.0,0.001,0.5,True,200,0.01,0,0.0
PieChart3,radial,3,scale,0.0,0.001,0.5,True,200,0.05,0,0.0
PieChart3,linear,3,scale,0.0,0.001,0.2,True,200,0.1,0,0.1873417721518987
PieChart3,polynomial,3,scale,0.0,0.001,0.2,True,200,0.1,0,0.2462686567164179
PieChart3,sigmoid,3,scale,0.0,0.001,0.2,True,200,0.1,0,0.251207729468599
PieChart3,radial,3,auto,0.0,0.001,0.2,True,200,0.1,0,0.180722891566265
PieChart3,radial,3,scale,0.1,0.001,0.2,True,200,0.1,0,0.0
PieChart3,radial,3,scale,0.2,0.001,0.2,True,200,0.1,0,0.0
PieChart3,radial,3,scale,0.3,0.001,0.2,True,200,0.1,0,0.0
PieChart3,radial,3,scale,0.4,0.001,0.2,True,200,0.1,0,0.0
PieChart3,radial,3,scale,0.0,0.001,0.2,False,200,0.1,0,0.0
PieChart3,radial,3,scale,0.0,0.001,0.2,True,50,0.1,0,0.0
PieChart3,radial,3,scale,0.0,0.001,0.2,True,100,0.1,0,0.0
PieChart3,radial,3,scale,0.0,0.001,0.2,True,400,0.1,0,0.0
PieChart3,radial,3,scale,0.0,0.001,0.2,True,200,0.2,0,0.0
PieChart3,radial,3,scale,0.0,0.001,0.2,True,200,0.01,0,0.0
PieChart3,radial,3,scale,0.0,0.001,0.2,True,200,0.05,0,0.0
PieChart3,linear,3,scale,0.0,0.001,IF,True,200,0.1,0,0.2784810126582278
PieChart3,polynomial,3,scale,0.0,0.001,IF,True,200,0.1,0,0.2622309197651663
PieChart3,radial,3,scale,0.0,0.001,IF,True,200,0.1,0,0.0
PieChart3,sigmoid,3,scale,0.0,0.001,IF,True,200,0.1,0,0.1554621848739495
PieChart3,radial,3,auto,0.0,0.001,IF,True,200,0.1,0,0.2057245080500894
PieChart3,radial,3,scale,0.1,0.001,IF,True,200,0.1,0,0.0
PieChart3,radial,3,scale,0.2,0.001,IF,True,200,0.1,0,0.0
PieChart3,radial,3,scale,0.3,0.001,IF,True,200,0.1,0,0.0
PieChart3,radial,3,scale,0.4,0.001,IF,True,200,0.1,0,0.0
PieChart3,radial,3,scale,0.0,0.001,IF,False,200,0.1,0,0.0
PieChart3,radial,3,scale,0.0,0.001,IF,True,50,0.1,0,0.0
PieChart3,radial,3,scale,0.0,0.001,IF,True,100,0.1,0,0.0
PieChart3,radial,3,scale,0.0,0.001,IF,True,400,0.1,0,0.0
PieChart3,radial,3,scale,0.0,0.001,IF,True,200,0.2,0,0.0
PieChart3,radial,3,scale,0.0,0.001,IF,True,200,0.01,0,0.0
PieChart3,radial,3,scale,0.0,0.001,IF,True,200,0.05,0,0.0
