Filename,kernel,degree,gamma,coef0,tolerance,nu,shrinking,cachesize,epsilon,Parameter_Iteration,R
annthyroid,linear,3,scale,0.0,0.001,0.5,True,200,0.1,0,0.144378698224852
annthyroid,polynomial,3,scale,0.0,0.001,0.5,True,200,0.1,0,0.1156824782187802
annthyroid,radial,3,scale,0.0,0.001,0.5,True,200,0.1,0,0.1177358490566037
annthyroid,sigmoid,3,scale,0.0,0.001,0.5,True,200,0.1,0,0.1223700120918984
annthyroid,radial,3,auto,0.0,0.001,0.5,True,200,0.1,0,0.0720851475568456
annthyroid,radial,3,scale,0.1,0.001,0.5,True,200,0.1,0,0.1177358490566037
annthyroid,radial,3,scale,0.2,0.001,0.5,True,200,0.1,0,0.1177358490566037
annthyroid,radial,3,scale,0.3,0.001,0.5,True,200,0.1,0,0.1177358490566037
annthyroid,radial,3,scale,0.4,0.001,0.5,True,200,0.1,0,0.1177358490566037
annthyroid,radial,3,scale,0.0,0.001,0.1,True,200,0.1,0,0.1188811188811188
annthyroid,radial,3,scale,0.0,0.001,0.2,True,200,0.1,0,0.1181535517818703
annthyroid,radial,3,scale,0.0,0.001,0.3,True,200,0.1,0,0.1182495344506517
annthyroid,radial,3,scale,0.0,0.001,0.4,True,200,0.1,0,0.1234624145785877
annthyroid,radial,3,scale,0.0,0.001,0.6,True,200,0.1,0,0.1342450962749685
annthyroid,radial,3,scale,0.0,0.001,0.7,True,200,0.1,0,0.128396143733567
annthyroid,radial,3,scale,0.0,0.001,0.8,True,200,0.1,0,0.1324041811846689
annthyroid,radial,3,scale,0.0,0.001,0.9,True,200,0.1,0,0.1246789633434508
annthyroid,radial,3,scale,0.0,0.001,0.5,False,200,0.1,0,0.1177358490566037
annthyroid,radial,3,scale,0.0,0.001,0.5,True,50,0.1,0,0.1177358490566037
annthyroid,radial,3,scale,0.0,0.001,0.5,True,100,0.1,0,0.1177358490566037
annthyroid,radial,3,scale,0.0,0.001,0.5,True,400,0.1,0,0.1177358490566037
annthyroid,radial,3,scale,0.0,0.001,0.5,True,200,0.2,0,0.1177358490566037
annthyroid,radial,3,scale,0.0,0.001,0.5,True,200,0.01,0,0.1177358490566037
annthyroid,radial,3,scale,0.0,0.001,0.5,True,200,0.05,0,0.1177358490566037
annthyroid,linear,3,scale,0.0,0.001,0.2,True,200,0.1,0,0.2027194066749073
annthyroid,polynomial,3,scale,0.0,0.001,0.2,True,200,0.1,0,0.1340023612750885
annthyroid,sigmoid,3,scale,0.0,0.001,0.2,True,200,0.1,0,0.133121525019857
annthyroid,radial,3,auto,0.0,0.001,0.2,True,200,0.1,0,0.1000635324015247
annthyroid,radial,3,scale,0.1,0.001,0.2,True,200,0.1,0,0.1181535517818703
annthyroid,radial,3,scale,0.2,0.001,0.2,True,200,0.1,0,0.1181535517818703
annthyroid,radial,3,scale,0.3,0.001,0.2,True,200,0.1,0,0.1181535517818703
annthyroid,radial,3,scale,0.4,0.001,0.2,True,200,0.1,0,0.1181535517818703
annthyroid,radial,3,scale,0.0,0.001,0.2,False,200,0.1,0,0.1181535517818703
annthyroid,radial,3,scale,0.0,0.001,0.2,True,50,0.1,0,0.1181535517818703
annthyroid,radial,3,scale,0.0,0.001,0.2,True,100,0.1,0,0.1181535517818703
annthyroid,radial,3,scale,0.0,0.001,0.2,True,400,0.1,0,0.1181535517818703
annthyroid,radial,3,scale,0.0,0.001,0.2,True,200,0.2,0,0.1181535517818703
annthyroid,radial,3,scale,0.0,0.001,0.2,True,200,0.01,0,0.1181535517818703
annthyroid,radial,3,scale,0.0,0.001,0.2,True,200,0.05,0,0.1181535517818703
annthyroid,linear,3,scale,0.0,0.001,IF,True,200,0.1,0,0.1800518134715026
annthyroid,polynomial,3,scale,0.0,0.001,IF,True,200,0.1,0,0.14199890770071
annthyroid,radial,3,scale,0.0,0.001,IF,True,200,0.1,0,0.1379310344827586
annthyroid,sigmoid,3,scale,0.0,0.001,IF,True,200,0.1,0,0.121366794271941
annthyroid,radial,3,auto,0.0,0.001,IF,True,200,0.1,0,0.1100241032184885
annthyroid,radial,3,scale,0.1,0.001,IF,True,200,0.1,0,0.1379310344827586
annthyroid,radial,3,scale,0.2,0.001,IF,True,200,0.1,0,0.1379310344827586
annthyroid,radial,3,scale,0.3,0.001,IF,True,200,0.1,0,0.1379310344827586
annthyroid,radial,3,scale,0.4,0.001,IF,True,200,0.1,0,0.1379310344827586
annthyroid,radial,3,scale,0.0,0.001,IF,False,200,0.1,0,0.1379310344827586
annthyroid,radial,3,scale,0.0,0.001,IF,True,50,0.1,0,0.1379310344827586
annthyroid,radial,3,scale,0.0,0.001,IF,True,100,0.1,0,0.1379310344827586
annthyroid,radial,3,scale,0.0,0.001,IF,True,400,0.1,0,0.1379310344827586
annthyroid,radial,3,scale,0.0,0.001,IF,True,200,0.2,0,0.1379310344827586
annthyroid,radial,3,scale,0.0,0.001,IF,True,200,0.01,0,0.1379310344827586
annthyroid,radial,3,scale,0.0,0.001,IF,True,200,0.05,0,0.1379310344827586
