,Filename,kernel,degree,gamma,coef0,tolerance,nu,shrinking,cachesize,epsilon,Parameter_Iteration,R
960,letter,linear,3,scale,0.0,0.001,0.5,True,200,0.1,0,0.0928074245939675
961,letter,polynomial,3,scale,0.0,0.001,0.5,True,200,0.1,0,0.0451467268623024
962,letter,radial,3,scale,0.0,0.001,0.5,True,200,0.1,0,0.0554323725055432
963,letter,sigmoid,3,scale,0.0,0.001,0.5,True,200,0.1,0,0.1620421753607103
964,letter,radial,3,auto,0.0,0.001,0.5,True,200,0.1,0,0.0909090909090909
965,letter,radial,3,scale,0.1,0.001,0.5,True,200,0.1,0,0.0554323725055432
966,letter,radial,3,scale,0.2,0.001,0.5,True,200,0.1,0,0.0554323725055432
967,letter,radial,3,scale,0.3,0.001,0.5,True,200,0.1,0,0.0554323725055432
968,letter,radial,3,scale,0.4,0.001,0.5,True,200,0.1,0,0.0554323725055432
969,letter,radial,3,scale,0.0,0.001,0.1,True,200,0.1,0,0.0910891089108911
970,letter,radial,3,scale,0.0,0.001,0.2,True,200,0.1,0,0.0773158278628738
971,letter,radial,3,scale,0.0,0.001,0.3,True,200,0.1,0,0.070607553366174
972,letter,radial,3,scale,0.0,0.001,0.4,True,200,0.1,0,0.0624408703878902
973,letter,radial,3,scale,0.0,0.001,0.6,True,200,0.1,0,0.0401069518716577
974,letter,radial,3,scale,0.0,0.001,0.7,True,200,0.1,0,0.0344234079173838
975,letter,radial,3,scale,0.0,0.001,0.8,True,200,0.1,0,0.0333333333333333
976,letter,radial,3,scale,0.0,0.001,0.9,True,200,0.1,0,0.0305343511450381
977,letter,radial,3,scale,0.0,0.001,0.5,False,200,0.1,0,0.0554323725055432
978,letter,radial,3,scale,0.0,0.001,0.5,True,50,0.1,0,0.0554323725055432
979,letter,radial,3,scale,0.0,0.001,0.5,True,100,0.1,0,0.0554323725055432
980,letter,radial,3,scale,0.0,0.001,0.5,True,400,0.1,0,0.0554323725055432
981,letter,radial,3,scale,0.0,0.001,0.5,True,200,0.2,0,0.0554323725055432
982,letter,radial,3,scale,0.0,0.001,0.5,True,200,0.01,0,0.0554323725055432
983,letter,radial,3,scale,0.0,0.001,0.5,True,200,0.05,0,0.0554323725055432
1914,letter,linear,3,scale,0.0,0.001,0.2,True,200,0.1,0,0.1049671977507029
1915,letter,polynomial,3,scale,0.0,0.001,0.2,True,200,0.1,0,0.0653789004457652
1916,letter,sigmoid,3,scale,0.0,0.001,0.2,True,200,0.1,0,0.1303403330919623
1917,letter,radial,3,auto,0.0,0.001,0.2,True,200,0.1,0,0.09288824383164
1918,letter,radial,3,scale,0.1,0.001,0.2,True,200,0.1,0,0.0773158278628738
1919,letter,radial,3,scale,0.2,0.001,0.2,True,200,0.1,0,0.0773158278628738
1920,letter,radial,3,scale,0.3,0.001,0.2,True,200,0.1,0,0.0773158278628738
1921,letter,radial,3,scale,0.4,0.001,0.2,True,200,0.1,0,0.0773158278628738
1922,letter,radial,3,scale,0.0,0.001,0.2,False,200,0.1,0,0.0773158278628738
1923,letter,radial,3,scale,0.0,0.001,0.2,True,50,0.1,0,0.0773158278628738
1924,letter,radial,3,scale,0.0,0.001,0.2,True,100,0.1,0,0.0773158278628738
1925,letter,radial,3,scale,0.0,0.001,0.2,True,400,0.1,0,0.0773158278628738
1926,letter,radial,3,scale,0.0,0.001,0.2,True,200,0.2,0,0.0773158278628738
1927,letter,radial,3,scale,0.0,0.001,0.2,True,200,0.01,0,0.0773158278628738
1928,letter,radial,3,scale,0.0,0.001,0.2,True,200,0.05,0,0.0773158278628738
2762,letter,linear,3,scale,0.0,0.001,IF,True,200,0.1,0,0.0987012987012987
2763,letter,polynomial,3,scale,0.0,0.001,IF,True,200,0.1,0,0.0883905013192612
2764,letter,radial,3,scale,0.0,0.001,IF,True,200,0.1,0,0.0886571056062581
2765,letter,sigmoid,3,scale,0.0,0.001,IF,True,200,0.1,0,0.1207115628970774
2766,letter,radial,3,auto,0.0,0.001,IF,True,200,0.1,0,0.0966921119592875
2767,letter,radial,3,scale,0.1,0.001,IF,True,200,0.1,0,0.0886571056062581
2768,letter,radial,3,scale,0.2,0.001,IF,True,200,0.1,0,0.0886571056062581
2769,letter,radial,3,scale,0.3,0.001,IF,True,200,0.1,0,0.0886571056062581
2770,letter,radial,3,scale,0.4,0.001,IF,True,200,0.1,0,0.0886571056062581
2771,letter,radial,3,scale,0.0,0.001,IF,False,200,0.1,0,0.0886571056062581
2772,letter,radial,3,scale,0.0,0.001,IF,True,50,0.1,0,0.0886571056062581
2773,letter,radial,3,scale,0.0,0.001,IF,True,100,0.1,0,0.0886571056062581
2774,letter,radial,3,scale,0.0,0.001,IF,True,400,0.1,0,0.0886571056062581
2775,letter,radial,3,scale,0.0,0.001,IF,True,200,0.2,0,0.0886571056062581
2776,letter,radial,3,scale,0.0,0.001,IF,True,200,0.01,0,0.0886571056062581
2777,letter,radial,3,scale,0.0,0.001,IF,True,200,0.05,0,0.0886571056062581
