,Filename,kernel,degree,gamma,coef0,tolerance,nu,shrinking,cachesize,epsilon,Parameter_Iteration,R
1008,lympho,linear,3,scale,0.0,0.001,0.5,True,200,0.1,0,0.0714285714285714
1009,lympho,polynomial,3,scale,0.0,0.001,0.5,True,200,0.1,0,0.1481481481481481
1010,lympho,radial,3,scale,0.0,0.001,0.5,True,200,0.1,0,0.119047619047619
1011,lympho,sigmoid,3,scale,0.0,0.001,0.5,True,200,0.1,0,0.0
1012,lympho,radial,3,auto,0.0,0.001,0.5,True,200,0.1,0,0.0
1013,lympho,radial,3,scale,0.1,0.001,0.5,True,200,0.1,0,0.119047619047619
1014,lympho,radial,3,scale,0.2,0.001,0.5,True,200,0.1,0,0.119047619047619
1015,lympho,radial,3,scale,0.3,0.001,0.5,True,200,0.1,0,0.119047619047619
1016,lympho,radial,3,scale,0.4,0.001,0.5,True,200,0.1,0,0.119047619047619
1017,lympho,radial,3,scale,0.0,0.001,0.1,True,200,0.1,0,0.1142857142857142
1018,lympho,radial,3,scale,0.0,0.001,0.2,True,200,0.1,0,0.0701754385964912
1019,lympho,radial,3,scale,0.0,0.001,0.3,True,200,0.1,0,0.0808080808080808
1020,lympho,radial,3,scale,0.0,0.001,0.4,True,200,0.1,0,0.1063829787234042
1021,lympho,radial,3,scale,0.0,0.001,0.6,True,200,0.1,0,0.0952380952380952
1022,lympho,radial,3,scale,0.0,0.001,0.7,True,200,0.1,0,0.0634920634920634
1023,lympho,radial,3,scale,0.0,0.001,0.8,True,200,0.1,0,0.032258064516129
1024,lympho,radial,3,scale,0.0,0.001,0.9,True,200,0.1,0,0.0
1025,lympho,radial,3,scale,0.0,0.001,0.5,False,200,0.1,0,0.119047619047619
1026,lympho,radial,3,scale,0.0,0.001,0.5,True,50,0.1,0,0.119047619047619
1027,lympho,radial,3,scale,0.0,0.001,0.5,True,100,0.1,0,0.119047619047619
1028,lympho,radial,3,scale,0.0,0.001,0.5,True,400,0.1,0,0.119047619047619
1029,lympho,radial,3,scale,0.0,0.001,0.5,True,200,0.2,0,0.119047619047619
1030,lympho,radial,3,scale,0.0,0.001,0.5,True,200,0.01,0,0.119047619047619
1031,lympho,radial,3,scale,0.0,0.001,0.5,True,200,0.05,0,0.119047619047619
1944,lympho,linear,3,scale,0.0,0.001,0.2,True,200,0.1,0,0.1318681318681318
1945,lympho,polynomial,3,scale,0.0,0.001,0.2,True,200,0.1,0,0.1123595505617977
1946,lympho,sigmoid,3,scale,0.0,0.001,0.2,True,200,0.1,0,0.048
1947,lympho,radial,3,auto,0.0,0.001,0.2,True,200,0.1,0,0.0
1948,lympho,radial,3,scale,0.1,0.001,0.2,True,200,0.1,0,0.0701754385964912
1949,lympho,radial,3,scale,0.2,0.001,0.2,True,200,0.1,0,0.0701754385964912
1950,lympho,radial,3,scale,0.3,0.001,0.2,True,200,0.1,0,0.0701754385964912
1951,lympho,radial,3,scale,0.4,0.001,0.2,True,200,0.1,0,0.0701754385964912
1952,lympho,radial,3,scale,0.0,0.001,0.2,False,200,0.1,0,0.0701754385964912
1953,lympho,radial,3,scale,0.0,0.001,0.2,True,50,0.1,0,0.0701754385964912
1954,lympho,radial,3,scale,0.0,0.001,0.2,True,100,0.1,0,0.0701754385964912
1955,lympho,radial,3,scale,0.0,0.001,0.2,True,400,0.1,0,0.0701754385964912
1956,lympho,radial,3,scale,0.0,0.001,0.2,True,200,0.2,0,0.0701754385964912
1957,lympho,radial,3,scale,0.0,0.001,0.2,True,200,0.01,0,0.0701754385964912
1958,lympho,radial,3,scale,0.0,0.001,0.2,True,200,0.05,0,0.0701754385964912
2794,lympho,linear,3,scale,0.0,0.001,IF,True,200,0.1,0,0.1142857142857143
2795,lympho,polynomial,3,scale,0.0,0.001,IF,True,200,0.1,0,0.1818181818181818
2796,lympho,radial,3,scale,0.0,0.001,IF,True,200,0.1,0,0.0851063829787234
2797,lympho,sigmoid,3,scale,0.0,0.001,IF,True,200,0.1,0,0.0202020202020202
2798,lympho,radial,3,auto,0.0,0.001,IF,True,200,0.1,0,0.0
2799,lympho,radial,3,scale,0.1,0.001,IF,True,200,0.1,0,0.0851063829787234
2800,lympho,radial,3,scale,0.2,0.001,IF,True,200,0.1,0,0.0851063829787234
2801,lympho,radial,3,scale,0.3,0.001,IF,True,200,0.1,0,0.0851063829787234
2802,lympho,radial,3,scale,0.4,0.001,IF,True,200,0.1,0,0.0851063829787234
2803,lympho,radial,3,scale,0.0,0.001,IF,False,200,0.1,0,0.0851063829787234
2804,lympho,radial,3,scale,0.0,0.001,IF,True,50,0.1,0,0.0851063829787234
2805,lympho,radial,3,scale,0.0,0.001,IF,True,100,0.1,0,0.0851063829787234
2806,lympho,radial,3,scale,0.0,0.001,IF,True,400,0.1,0,0.0851063829787234
2807,lympho,radial,3,scale,0.0,0.001,IF,True,200,0.2,0,0.0851063829787234
2808,lympho,radial,3,scale,0.0,0.001,IF,True,200,0.01,0,0.0851063829787234
2809,lympho,radial,3,scale,0.0,0.001,IF,True,200,0.05,0,0.0851063829787234
