,Filename,kernel,degree,gamma,coef0,tolerance,nu,shrinking,cachesize,epsilon,Parameter_Iteration,R
1176,thoracic_surgery,linear,3,scale,0.0,0.001,0.5,True,200,0.1,0,0.1944444444444444
1177,thoracic_surgery,polynomial,3,scale,0.0,0.001,0.5,True,200,0.1,0,0.0499999999999999
1178,thoracic_surgery,radial,3,scale,0.0,0.001,0.5,True,200,0.1,0,0.1836065573770491
1179,thoracic_surgery,sigmoid,3,scale,0.0,0.001,0.5,True,200,0.1,0,0.2385321100917431
1180,thoracic_surgery,radial,3,auto,0.0,0.001,0.5,True,200,0.1,0,0.1836065573770491
1181,thoracic_surgery,radial,3,scale,0.1,0.001,0.5,True,200,0.1,0,0.1836065573770491
1182,thoracic_surgery,radial,3,scale,0.2,0.001,0.5,True,200,0.1,0,0.1836065573770491
1183,thoracic_surgery,radial,3,scale,0.3,0.001,0.5,True,200,0.1,0,0.1836065573770491
1184,thoracic_surgery,radial,3,scale,0.4,0.001,0.5,True,200,0.1,0,0.1836065573770491
1185,thoracic_surgery,radial,3,scale,0.0,0.001,0.1,True,200,0.1,0,0.2434077079107505
1186,thoracic_surgery,radial,3,scale,0.0,0.001,0.2,True,200,0.1,0,0.197752808988764
1187,thoracic_surgery,radial,3,scale,0.0,0.001,0.3,True,200,0.1,0,0.1849999999999999
1188,thoracic_surgery,radial,3,scale,0.0,0.001,0.4,True,200,0.1,0,0.1766381766381766
1189,thoracic_surgery,radial,3,scale,0.0,0.001,0.6,True,200,0.1,0,0.1698841698841698
1190,thoracic_surgery,radial,3,scale,0.0,0.001,0.7,True,200,0.1,0,0.1706161137440758
1191,thoracic_surgery,radial,3,scale,0.0,0.001,0.8,True,200,0.1,0,0.1463414634146341
1192,thoracic_surgery,radial,3,scale,0.0,0.001,0.9,True,200,0.1,0,0.1538461538461538
1193,thoracic_surgery,radial,3,scale,0.0,0.001,0.5,False,200,0.1,0,0.1836065573770491
1194,thoracic_surgery,radial,3,scale,0.0,0.001,0.5,True,50,0.1,0,0.1836065573770491
1195,thoracic_surgery,radial,3,scale,0.0,0.001,0.5,True,100,0.1,0,0.1836065573770491
1196,thoracic_surgery,radial,3,scale,0.0,0.001,0.5,True,400,0.1,0,0.1836065573770491
1197,thoracic_surgery,radial,3,scale,0.0,0.001,0.5,True,200,0.2,0,0.1836065573770491
1198,thoracic_surgery,radial,3,scale,0.0,0.001,0.5,True,200,0.01,0,0.1836065573770491
1199,thoracic_surgery,radial,3,scale,0.0,0.001,0.5,True,200,0.05,0,0.1836065573770491
2049,thoracic_surgery,linear,3,scale,0.0,0.001,0.2,True,200,0.1,0,0.2808988764044944
2050,thoracic_surgery,polynomial,3,scale,0.0,0.001,0.2,True,200,0.1,0,0.0499999999999999
2051,thoracic_surgery,sigmoid,3,scale,0.0,0.001,0.2,True,200,0.1,0,0.2620087336244542
2052,thoracic_surgery,radial,3,auto,0.0,0.001,0.2,True,200,0.1,0,0.2017937219730942
2053,thoracic_surgery,radial,3,scale,0.1,0.001,0.2,True,200,0.1,0,0.197752808988764
2054,thoracic_surgery,radial,3,scale,0.2,0.001,0.2,True,200,0.1,0,0.197752808988764
2055,thoracic_surgery,radial,3,scale,0.3,0.001,0.2,True,200,0.1,0,0.197752808988764
2056,thoracic_surgery,radial,3,scale,0.4,0.001,0.2,True,200,0.1,0,0.197752808988764
2057,thoracic_surgery,radial,3,scale,0.0,0.001,0.2,False,200,0.1,0,0.197752808988764
2058,thoracic_surgery,radial,3,scale,0.0,0.001,0.2,True,50,0.1,0,0.197752808988764
2059,thoracic_surgery,radial,3,scale,0.0,0.001,0.2,True,100,0.1,0,0.197752808988764
2060,thoracic_surgery,radial,3,scale,0.0,0.001,0.2,True,400,0.1,0,0.197752808988764
2061,thoracic_surgery,radial,3,scale,0.0,0.001,0.2,True,200,0.2,0,0.197752808988764
2062,thoracic_surgery,radial,3,scale,0.0,0.001,0.2,True,200,0.01,0,0.197752808988764
2063,thoracic_surgery,radial,3,scale,0.0,0.001,0.2,True,200,0.05,0,0.197752808988764
2906,thoracic_surgery,linear,3,scale,0.0,0.001,IF,True,200,0.1,0,0.2444444444444444
2907,thoracic_surgery,polynomial,3,scale,0.0,0.001,IF,True,200,0.1,0,0.2790697674418605
2908,thoracic_surgery,radial,3,scale,0.0,0.001,IF,True,200,0.1,0,0.2246220302375809
2909,thoracic_surgery,sigmoid,3,scale,0.0,0.001,IF,True,200,0.1,0,0.2978723404255319
2910,thoracic_surgery,radial,3,auto,0.0,0.001,IF,True,200,0.1,0,0.2184154175588865
2911,thoracic_surgery,radial,3,scale,0.1,0.001,IF,True,200,0.1,0,0.2246220302375809
2912,thoracic_surgery,radial,3,scale,0.2,0.001,IF,True,200,0.1,0,0.2246220302375809
2913,thoracic_surgery,radial,3,scale,0.3,0.001,IF,True,200,0.1,0,0.2246220302375809
2914,thoracic_surgery,radial,3,scale,0.4,0.001,IF,True,200,0.1,0,0.2246220302375809
2915,thoracic_surgery,radial,3,scale,0.0,0.001,IF,False,200,0.1,0,0.2246220302375809
2916,thoracic_surgery,radial,3,scale,0.0,0.001,IF,True,50,0.1,0,0.2246220302375809
2917,thoracic_surgery,radial,3,scale,0.0,0.001,IF,True,100,0.1,0,0.2246220302375809
2918,thoracic_surgery,radial,3,scale,0.0,0.001,IF,True,400,0.1,0,0.2246220302375809
2919,thoracic_surgery,radial,3,scale,0.0,0.001,IF,True,200,0.2,0,0.2246220302375809
2920,thoracic_surgery,radial,3,scale,0.0,0.001,IF,True,200,0.01,0,0.2246220302375809
2921,thoracic_surgery,radial,3,scale,0.0,0.001,IF,True,200,0.05,0,0.2246220302375809
