,Filename,kernel,degree,gamma,coef0,tolerance,nu,shrinking,cachesize,epsilon,Parameter_Iteration,R
1224,vertebral,linear,3,scale,0.0,0.001,0.5,True,200,0.1,0,0.0
1225,vertebral,polynomial,3,scale,0.0,0.001,0.5,True,200,0.1,0,0.2247191011235955
1226,vertebral,radial,3,scale,0.0,0.001,0.5,True,200,0.1,0,0.2781456953642384
1227,vertebral,sigmoid,3,scale,0.0,0.001,0.5,True,200,0.1,0,0.2051282051282051
1228,vertebral,radial,3,auto,0.0,0.001,0.5,True,200,0.1,0,0.2533333333333333
1229,vertebral,radial,3,scale,0.1,0.001,0.5,True,200,0.1,0,0.2781456953642384
1230,vertebral,radial,3,scale,0.2,0.001,0.5,True,200,0.1,0,0.2781456953642384
1231,vertebral,radial,3,scale,0.3,0.001,0.5,True,200,0.1,0,0.2781456953642384
1232,vertebral,radial,3,scale,0.4,0.001,0.5,True,200,0.1,0,0.2781456953642384
1233,vertebral,radial,3,scale,0.0,0.001,0.1,True,200,0.1,0,0.2348178137651821
1234,vertebral,radial,3,scale,0.0,0.001,0.2,True,200,0.1,0,0.2352941176470588
1235,vertebral,radial,3,scale,0.0,0.001,0.3,True,200,0.1,0,0.2512562814070352
1236,vertebral,radial,3,scale,0.0,0.001,0.4,True,200,0.1,0,0.2824858757062146
1237,vertebral,radial,3,scale,0.0,0.001,0.6,True,200,0.1,0,0.2519685039370078
1238,vertebral,radial,3,scale,0.0,0.001,0.7,True,200,0.1,0,0.1764705882352941
1239,vertebral,radial,3,scale,0.0,0.001,0.8,True,200,0.1,0,0.1794871794871795
1240,vertebral,radial,3,scale,0.0,0.001,0.9,True,200,0.1,0,0.1851851851851852
1241,vertebral,radial,3,scale,0.0,0.001,0.5,False,200,0.1,0,0.2781456953642384
1242,vertebral,radial,3,scale,0.0,0.001,0.5,True,50,0.1,0,0.2781456953642384
1243,vertebral,radial,3,scale,0.0,0.001,0.5,True,100,0.1,0,0.2781456953642384
1244,vertebral,radial,3,scale,0.0,0.001,0.5,True,400,0.1,0,0.2781456953642384
1245,vertebral,radial,3,scale,0.0,0.001,0.5,True,200,0.2,0,0.2781456953642384
1246,vertebral,radial,3,scale,0.0,0.001,0.5,True,200,0.01,0,0.2781456953642384
1247,vertebral,radial,3,scale,0.0,0.001,0.5,True,200,0.05,0,0.2781456953642384
2079,vertebral,linear,3,scale,0.0,0.001,0.2,True,200,0.1,0,0.2622950819672131
2080,vertebral,polynomial,3,scale,0.0,0.001,0.2,True,200,0.1,0,0.2230483271375464
2081,vertebral,sigmoid,3,scale,0.0,0.001,0.2,True,200,0.1,0,0.1538461538461538
2082,vertebral,radial,3,auto,0.0,0.001,0.2,True,200,0.1,0,0.2432432432432432
2083,vertebral,radial,3,scale,0.1,0.001,0.2,True,200,0.1,0,0.2352941176470588
2084,vertebral,radial,3,scale,0.2,0.001,0.2,True,200,0.1,0,0.2352941176470588
2085,vertebral,radial,3,scale,0.3,0.001,0.2,True,200,0.1,0,0.2352941176470588
2086,vertebral,radial,3,scale,0.4,0.001,0.2,True,200,0.1,0,0.2352941176470588
2087,vertebral,radial,3,scale,0.0,0.001,0.2,False,200,0.1,0,0.2352941176470588
2088,vertebral,radial,3,scale,0.0,0.001,0.2,True,50,0.1,0,0.2352941176470588
2089,vertebral,radial,3,scale,0.0,0.001,0.2,True,100,0.1,0,0.2352941176470588
2090,vertebral,radial,3,scale,0.0,0.001,0.2,True,400,0.1,0,0.2352941176470588
2091,vertebral,radial,3,scale,0.0,0.001,0.2,True,200,0.2,0,0.2352941176470588
2092,vertebral,radial,3,scale,0.0,0.001,0.2,True,200,0.01,0,0.2352941176470588
2093,vertebral,radial,3,scale,0.0,0.001,0.2,True,200,0.05,0,0.2352941176470588
2938,vertebral,linear,3,scale,0.0,0.001,IF,True,200,0.1,0,0.2258064516129032
2939,vertebral,polynomial,3,scale,0.0,0.001,IF,True,200,0.1,0,0.0
2940,vertebral,radial,3,scale,0.0,0.001,IF,True,200,0.1,0,0.2419354838709677
2941,vertebral,sigmoid,3,scale,0.0,0.001,IF,True,200,0.1,0,0.2285714285714286
2942,vertebral,radial,3,auto,0.0,0.001,IF,True,200,0.1,0,0.242914979757085
2943,vertebral,radial,3,scale,0.1,0.001,IF,True,200,0.1,0,0.2419354838709677
2944,vertebral,radial,3,scale,0.2,0.001,IF,True,200,0.1,0,0.2419354838709677
2945,vertebral,radial,3,scale,0.3,0.001,IF,True,200,0.1,0,0.2419354838709677
2946,vertebral,radial,3,scale,0.4,0.001,IF,True,200,0.1,0,0.2419354838709677
2947,vertebral,radial,3,scale,0.0,0.001,IF,False,200,0.1,0,0.2419354838709677
2948,vertebral,radial,3,scale,0.0,0.001,IF,True,50,0.1,0,0.2419354838709677
2949,vertebral,radial,3,scale,0.0,0.001,IF,True,100,0.1,0,0.2419354838709677
2950,vertebral,radial,3,scale,0.0,0.001,IF,True,400,0.1,0,0.2419354838709677
2951,vertebral,radial,3,scale,0.0,0.001,IF,True,200,0.2,0,0.2419354838709677
2952,vertebral,radial,3,scale,0.0,0.001,IF,True,200,0.01,0,0.2419354838709677
2953,vertebral,radial,3,scale,0.0,0.001,IF,True,200,0.05,0,0.2419354838709677
