Filename,kernel,degree,gamma,coef0,tol,nu,shrinking,cache_size,max_iter,Parameter_Iteration,R
KungChi3,linear,3,scale,0.0,0.001,0.5,True,200,-1,0,0.1282051282051282
KungChi3,poly,3,scale,0.0,0.001,0.5,True,200,-1,0,0.1081081081081081
KungChi3,rbf,3,scale,0.0,0.001,0.5,True,200,-1,0,0.2077922077922077
KungChi3,sigmoid,3,scale,0.0,0.001,0.5,True,200,-1,0,0.1282051282051282
KungChi3,rbf,3,auto,0.0,0.001,0.5,True,200,-1,0,0.1941747572815534
KungChi3,rbf,3,scale,0.0,0.1,0.5,True,200,-1,0,0.2077922077922077
KungChi3,rbf,3,scale,0.0,0.01,0.5,True,200,-1,0,0.2077922077922077
KungChi3,rbf,3,scale,0.0,0.0001,0.5,True,200,-1,0,0.2077922077922077
KungChi3,rbf,3,scale,0.0,1e-05,0.5,True,200,-1,0,0.2077922077922077
KungChi3,rbf,3,scale,0.0,0.001,0.1,True,200,-1,0,0.2962962962962963
KungChi3,rbf,3,scale,0.0,0.001,0.2,True,200,-1,0,0.25
KungChi3,rbf,3,scale,0.0,0.001,0.3,True,200,-1,0,0.2641509433962264
KungChi3,rbf,3,scale,0.0,0.001,0.4,True,200,-1,0,0.2424242424242424
KungChi3,rbf,3,scale,0.0,0.001,0.6,True,200,-1,0,0.1978021978021978
KungChi3,rbf,3,scale,0.0,0.001,0.7,True,200,-1,0,0.2524271844660194
KungChi3,rbf,3,scale,0.0,0.001,0.8,True,200,-1,0,0.2608695652173913
KungChi3,rbf,3,scale,0.0,0.001,0.9,True,200,-1,0,0.2380952380952381
KungChi3,rbf,3,scale,0.0,0.001,0.5,False,200,-1,0,0.2077922077922077
KungChi3,rbf,3,scale,0.0,0.001,0.5,True,50,-1,0,0.2077922077922077
KungChi3,rbf,3,scale,0.0,0.001,0.5,True,100,-1,0,0.2077922077922077
KungChi3,rbf,3,scale,0.0,0.001,0.5,True,400,-1,0,0.2077922077922077
KungChi3,rbf,3,scale,0.0,0.001,0.5,True,200,50,0,0.2439024390243902
KungChi3,rbf,3,scale,0.0,0.001,0.5,True,200,100,0,0.2077922077922077
KungChi3,rbf,3,scale,0.0,0.001,0.5,True,200,150,0,0.2077922077922077
KungChi3,rbf,3,scale,0.0,0.001,0.5,True,200,200,0,0.2077922077922077
KungChi3,rbf,3,scale,0.0,0.001,0.5,True,200,250,0,0.2077922077922077
