Filename,kernel,degree,gamma,coef0,tol,nu,shrinking,cache_size,max_iter,Parameter_Iteration,R
ionosphere,linear,3,scale,0.0,0.001,0.5,True,200,-1,0,0.6622516556291391
ionosphere,poly,3,scale,0.0,0.001,0.5,True,200,-1,0,0.6179401993355481
ionosphere,rbf,3,scale,0.0,0.001,0.5,True,200,-1,0,0.6534653465346535
ionosphere,sigmoid,3,scale,0.0,0.001,0.5,True,200,-1,0,0.6688741721854304
ionosphere,rbf,3,auto,0.0,0.001,0.5,True,200,-1,0,0.6158940397350994
ionosphere,rbf,3,scale,0.0,0.1,0.5,True,200,-1,0,0.6644518272425248
ionosphere,rbf,3,scale,0.0,0.01,0.5,True,200,-1,0,0.6578073089700996
ionosphere,rbf,3,scale,0.0,0.0001,0.5,True,200,-1,0,0.6534653465346535
ionosphere,rbf,3,scale,0.0,1e-05,0.5,True,200,-1,0,0.6600660066006601
ionosphere,rbf,3,scale,0.0,0.001,0.1,True,200,-1,0,0.3417721518987342
ionosphere,rbf,3,scale,0.0,0.001,0.2,True,200,-1,0,0.6010362694300517
ionosphere,rbf,3,scale,0.0,0.001,0.3,True,200,-1,0,0.6869565217391305
ionosphere,rbf,3,scale,0.0,0.001,0.4,True,200,-1,0,0.6917293233082706
ionosphere,rbf,3,scale,0.0,0.001,0.6,True,200,-1,0,0.6430678466076696
ionosphere,rbf,3,scale,0.0,0.001,0.7,True,200,-1,0,0.6112600536193029
ionosphere,rbf,3,scale,0.0,0.001,0.8,True,200,-1,0,0.6059113300492611
ionosphere,rbf,3,scale,0.0,0.001,0.9,True,200,-1,0,0.5656108597285069
ionosphere,rbf,3,scale,0.0,0.001,0.5,False,200,-1,0,0.6534653465346535
ionosphere,rbf,3,scale,0.0,0.001,0.5,True,50,-1,0,0.6534653465346535
ionosphere,rbf,3,scale,0.0,0.001,0.5,True,100,-1,0,0.6534653465346535
ionosphere,rbf,3,scale,0.0,0.001,0.5,True,400,-1,0,0.6534653465346535
ionosphere,rbf,3,scale,0.0,0.001,0.5,True,200,50,0,0.6646153846153846
ionosphere,rbf,3,scale,0.0,0.001,0.5,True,200,100,0,0.6534653465346535
ionosphere,rbf,3,scale,0.0,0.001,0.5,True,200,150,0,0.6534653465346535
ionosphere,rbf,3,scale,0.0,0.001,0.5,True,200,200,0,0.6534653465346535
ionosphere,rbf,3,scale,0.0,0.001,0.5,True,200,250,0,0.6534653465346535
ionosphere,rbf,3,scale,0.0,0.001,0.5,True,200,300,0,0.6534653465346535
ionosphere,linear,3,scale,0.0,0.001,0.5,True,200,50,2,0.643171806167401
ionosphere,poly,3,scale,0.0,0.001,0.5,True,200,50,2,0.616600790513834
ionosphere,sigmoid,3,scale,0.0,0.001,0.5,True,200,50,2,0.6030927835051547
ionosphere,rbf,3,scale,0.0,0.1,0.5,True,200,50,2,0.6646153846153846
ionosphere,rbf,3,scale,0.0,0.01,0.5,True,200,50,2,0.6646153846153846
ionosphere,rbf,3,scale,0.0,0.0001,0.5,True,200,50,2,0.6646153846153846
ionosphere,rbf,3,scale,0.0,1e-05,0.5,True,200,50,2,0.6646153846153846
ionosphere,rbf,3,scale,0.0,0.001,0.1,True,200,50,2,0.2967741935483871
ionosphere,rbf,3,scale,0.0,0.001,0.2,True,200,50,2,0.6192893401015228
ionosphere,rbf,3,scale,0.0,0.001,0.3,True,200,50,2,0.6513409961685824
ionosphere,rbf,3,scale,0.0,0.001,0.4,True,200,50,2,0.6565349544072948
