Filename,kernel,degree,gamma,coef0,tol,nu,shrinking,cache_size,max_iter,Parameter_Iteration,R
lympho,linear,3,scale,0.0,0.001,0.5,True,200,-1,0,0.0987654320987654
lympho,poly,3,scale,0.0,0.001,0.5,True,200,-1,0,0.075
lympho,rbf,3,scale,0.0,0.001,0.5,True,200,-1,0,0.15
lympho,sigmoid,3,scale,0.0,0.001,0.5,True,200,-1,0,0.0987654320987654
lympho,rbf,3,auto,0.0,0.001,0.5,True,200,-1,0,0.15
lympho,rbf,3,scale,0.0,0.1,0.5,True,200,-1,0,0.1518987341772152
lympho,rbf,3,scale,0.0,0.01,0.5,True,200,-1,0,0.15
lympho,rbf,3,scale,0.0,0.0001,0.5,True,200,-1,0,0.1538461538461538
lympho,rbf,3,scale,0.0,1e-05,0.5,True,200,-1,0,0.15
lympho,rbf,3,scale,0.0,0.001,0.1,True,200,-1,0,0.3809523809523809
lympho,rbf,3,scale,0.0,0.001,0.2,True,200,-1,0,0.2857142857142857
lympho,rbf,3,scale,0.0,0.001,0.3,True,200,-1,0,0.24
lympho,rbf,3,scale,0.0,0.001,0.4,True,200,-1,0,0.1791044776119403
lympho,rbf,3,scale,0.0,0.001,0.6,True,200,-1,0,0.1318681318681318
lympho,rbf,3,scale,0.0,0.001,0.7,True,200,-1,0,0.1090909090909091
lympho,rbf,3,scale,0.0,0.001,0.8,True,200,-1,0,0.096
lympho,rbf,3,scale,0.0,0.001,0.9,True,200,-1,0,0.0869565217391304
lympho,rbf,3,scale,0.0,0.001,0.5,False,200,-1,0,0.15
lympho,rbf,3,scale,0.0,0.001,0.5,True,50,-1,0,0.15
lympho,rbf,3,scale,0.0,0.001,0.5,True,100,-1,0,0.15
lympho,rbf,3,scale,0.0,0.001,0.5,True,400,-1,0,0.15
lympho,rbf,3,scale,0.0,0.001,0.5,True,200,50,0,0.1538461538461538
lympho,rbf,3,scale,0.0,0.001,0.5,True,200,100,0,0.15
lympho,rbf,3,scale,0.0,0.001,0.5,True,200,150,0,0.15
lympho,rbf,3,scale,0.0,0.001,0.5,True,200,200,0,0.15
lympho,rbf,3,scale,0.0,0.001,0.5,True,200,250,0,0.15
lympho,rbf,3,scale,0.0,0.001,0.5,True,200,300,0,0.15
lympho,linear,3,scale,0.0,0.001,0.5,True,200,50,2,0.0987654320987654
lympho,poly,3,scale,0.0,0.001,0.5,True,200,50,2,0.075
lympho,sigmoid,3,scale,0.0,0.001,0.5,True,200,50,2,0.0987654320987654
lympho,rbf,3,scale,0.0,0.1,0.5,True,200,50,2,0.1518987341772152
lympho,rbf,3,scale,0.0,0.01,0.5,True,200,50,2,0.15
lympho,rbf,3,scale,0.0,0.0001,0.5,True,200,50,2,0.1538461538461538
lympho,rbf,3,scale,0.0,1e-05,0.5,True,200,50,2,0.1538461538461538
lympho,rbf,3,scale,0.0,0.001,0.1,True,200,50,2,0.3809523809523809
lympho,rbf,3,scale,0.0,0.001,0.2,True,200,50,2,0.2857142857142857
lympho,rbf,3,scale,0.0,0.001,0.3,True,200,50,2,0.2352941176470588
lympho,rbf,3,scale,0.0,0.001,0.4,True,200,50,2,0.1846153846153846
lympho,rbf,3,scale,0.0,0.001,0.6,True,200,50,2,0.1304347826086956
lympho,rbf,3,scale,0.0,0.001,0.7,True,200,50,2,0.1090909090909091
lympho,rbf,3,scale,0.0,0.001,0.8,True,200,50,2,0.096
lympho,rbf,3,scale,0.0,0.001,0.9,True,200,50,2,0.0869565217391304
lympho,rbf,3,scale,0.0,0.001,0.5,False,200,50,2,0.1538461538461538
lympho,rbf,3,scale,0.0,0.001,0.5,True,50,50,2,0.1538461538461538
lympho,rbf,3,scale,0.0,0.001,0.5,True,100,50,2,0.1538461538461538
lympho,rbf,3,scale,0.0,0.001,0.5,True,400,50,2,0.1538461538461538
lympho,linear,3,scale,0.0,1e-05,0.5,True,200,50,3,0.0987654320987654
lympho,poly,3,scale,0.0,1e-05,0.5,True,200,50,3,0.075
lympho,sigmoid,3,scale,0.0,1e-05,0.5,True,200,50,3,0.0987654320987654
lympho,rbf,3,scale,0.0,1e-05,0.1,True,200,50,3,0.2727272727272727
lympho,rbf,3,scale,0.0,1e-05,0.2,True,200,50,3,0.2941176470588235
lympho,rbf,3,scale,0.0,1e-05,0.3,True,200,50,3,0.2352941176470588
lympho,rbf,3,scale,0.0,1e-05,0.4,True,200,50,3,0.1846153846153846
lympho,rbf,3,scale,0.0,1e-05,0.6,True,200,50,3,0.1304347826086956
lympho,rbf,3,scale,0.0,1e-05,0.7,True,200,50,3,0.1090909090909091
lympho,rbf,3,scale,0.0,1e-05,0.8,True,200,50,3,0.0967741935483871
lympho,rbf,3,scale,0.0,1e-05,0.9,True,200,50,3,0.0869565217391304
lympho,rbf,3,scale,0.0,1e-05,0.5,False,200,50,3,0.1538461538461538
lympho,rbf,3,scale,0.0,1e-05,0.5,True,50,50,3,0.1538461538461538
lympho,rbf,3,scale,0.0,1e-05,0.5,True,100,50,3,0.1538461538461538
lympho,rbf,3,scale,0.0,1e-05,0.5,True,400,50,3,0.1538461538461538
lympho,linear,3,scale,0.0,1e-05,0.5,False,200,50,4,0.0987654320987654
lympho,poly,3,scale,0.0,1e-05,0.5,False,200,50,4,0.075
lympho,sigmoid,3,scale,0.0,1e-05,0.5,False,200,50,4,0.0987654320987654
lympho,rbf,3,scale,0.0,1e-05,0.1,False,200,50,4,0.2727272727272727
lympho,rbf,3,scale,0.0,1e-05,0.2,False,200,50,4,0.2941176470588235
lympho,rbf,3,scale,0.0,1e-05,0.3,False,200,50,4,0.2352941176470588
lympho,rbf,3,scale,0.0,1e-05,0.4,False,200,50,4,0.1846153846153846
lympho,rbf,3,scale,0.0,1e-05,0.6,False,200,50,4,0.1304347826086956
lympho,rbf,3,scale,0.0,1e-05,0.7,False,200,50,4,0.1090909090909091
lympho,rbf,3,scale,0.0,1e-05,0.8,False,200,50,4,0.0967741935483871
lympho,rbf,3,scale,0.0,1e-05,0.9,False,200,50,4,0.0869565217391304
lympho,rbf,3,scale,0.0,1e-05,0.5,False,50,50,4,0.1538461538461538
lympho,rbf,3,scale,0.0,1e-05,0.5,False,100,50,4,0.1538461538461538
lympho,rbf,3,scale,0.0,1e-05,0.5,False,400,50,4,0.1538461538461538
lympho,linear,3,scale,0.0,1e-05,0.5,False,50,50,5,0.0987654320987654
lympho,poly,3,scale,0.0,1e-05,0.5,False,50,50,5,0.075
lympho,sigmoid,3,scale,0.0,1e-05,0.5,False,50,50,5,0.0987654320987654
lympho,rbf,3,scale,0.0,1e-05,0.1,False,50,50,5,0.2727272727272727
lympho,rbf,3,scale,0.0,1e-05,0.2,False,50,50,5,0.2941176470588235
lympho,rbf,3,scale,0.0,1e-05,0.3,False,50,50,5,0.2352941176470588
lympho,rbf,3,scale,0.0,1e-05,0.4,False,50,50,5,0.1846153846153846
lympho,rbf,3,scale,0.0,1e-05,0.6,False,50,50,5,0.1304347826086956
lympho,rbf,3,scale,0.0,1e-05,0.7,False,50,50,5,0.1090909090909091
lympho,rbf,3,scale,0.0,1e-05,0.8,False,50,50,5,0.0967741935483871
lympho,rbf,3,scale,0.0,1e-05,0.9,False,50,50,5,0.0869565217391304
lympho,linear,3,scale,0.0,0.001,0.2,True,200,-1,0,0.1142857142857143
lympho,poly,3,scale,0.0,0.001,0.2,True,200,-1,0,0.1142857142857143
lympho,sigmoid,3,scale,0.0,0.001,0.2,True,200,-1,0,0.1142857142857143
lympho,rbf,3,auto,0.0,0.001,0.2,True,200,-1,0,0.3428571428571428
lympho,rbf,3,scale,0.0,0.1,0.2,True,200,-1,0,0.2857142857142857
lympho,rbf,3,scale,0.0,0.01,0.2,True,200,-1,0,0.2857142857142857
lympho,rbf,3,scale,0.0,0.0001,0.2,True,200,-1,0,0.2777777777777778
lympho,rbf,3,scale,0.0,1e-05,0.2,True,200,-1,0,0.2777777777777778
lympho,rbf,3,scale,0.0,0.001,0.3655405405405405,True,200,-1,0,0.1967213114754098
lympho,rbf,3,scale,0.0,0.001,0.2,False,200,-1,0,0.2857142857142857
lympho,rbf,3,scale,0.0,0.001,0.2,True,50,-1,0,0.2857142857142857
lympho,rbf,3,scale,0.0,0.001,0.2,True,100,-1,0,0.2857142857142857
lympho,rbf,3,scale,0.0,0.001,0.2,True,400,-1,0,0.2857142857142857
lympho,rbf,3,scale,0.0,0.001,0.2,True,200,100,0,0.2857142857142857
lympho,rbf,3,scale,0.0,0.001,0.2,True,200,150,0,0.2857142857142857
lympho,rbf,3,scale,0.0,0.001,0.2,True,200,200,0,0.2857142857142857
lympho,rbf,3,scale,0.0,0.001,0.2,True,200,250,0,0.2857142857142857
lympho,rbf,3,scale,0.0,0.001,0.2,True,200,300,0,0.2857142857142857
lympho,linear,3,scale,0.0,1e-05,0.2,True,200,-1,2,0.1142857142857143
lympho,poly,3,scale,0.0,1e-05,0.2,True,200,-1,2,0.1142857142857143
lympho,sigmoid,3,scale,0.0,1e-05,0.2,True,200,-1,2,0.1142857142857143
lympho,rbf,3,scale,0.0,1e-05,0.1,True,200,-1,2,0.4761904761904761
lympho,rbf,3,scale,0.0,1e-05,0.3,True,200,-1,2,0.2352941176470588
lympho,rbf,3,scale,0.0,1e-05,0.4,True,200,-1,2,0.1875
lympho,rbf,3,scale,0.0,1e-05,0.6,True,200,-1,2,0.1276595744680851
lympho,rbf,3,scale,0.0,1e-05,0.7,True,200,-1,2,0.1090909090909091
lympho,rbf,3,scale,0.0,1e-05,0.8,True,200,-1,2,0.0967741935483871
lympho,rbf,3,scale,0.0,1e-05,0.9,True,200,-1,2,0.0869565217391304
lympho,rbf,3,scale,0.0,1e-05,0.3655405405405405,True,200,-1,2,0.1967213114754098
lympho,rbf,3,scale,0.0,1e-05,0.2,False,200,-1,2,0.2777777777777778
lympho,rbf,3,scale,0.0,1e-05,0.2,True,50,-1,2,0.2777777777777778
lympho,rbf,3,scale,0.0,1e-05,0.2,True,100,-1,2,0.2777777777777778
lympho,rbf,3,scale,0.0,1e-05,0.2,True,400,-1,2,0.2777777777777778
lympho,rbf,3,scale,0.0,1e-05,0.2,True,200,100,2,0.2777777777777778
lympho,rbf,3,scale,0.0,1e-05,0.2,True,200,150,2,0.2777777777777778
lympho,rbf,3,scale,0.0,1e-05,0.2,True,200,200,2,0.2777777777777778
lympho,rbf,3,scale,0.0,1e-05,0.2,True,200,250,2,0.2777777777777778
lympho,rbf,3,scale,0.0,1e-05,0.2,True,200,300,2,0.2777777777777778
lympho,linear,3,scale,0.0,1e-05,0.2,True,200,50,3,0.1111111111111111
lympho,poly,3,scale,0.0,1e-05,0.2,True,200,50,3,0.1142857142857143
lympho,sigmoid,3,scale,0.0,1e-05,0.2,True,200,50,3,0.1142857142857143
lympho,rbf,3,scale,0.0,1e-05,0.3655405405405405,True,200,50,3,0.1967213114754098
