Filename,kernel,degree,gamma,coef0,tol,nu,shrinking,cache_size,max_iter,Parameter_Iteration,R
pc1,linear,3,scale,0.0,0.001,0.5,True,200,-1,0,0.0665610142630744
pc1,poly,3,scale,0.0,0.001,0.5,True,200,-1,0,0.1042830540037244
pc1,rbf,3,scale,0.0,0.001,0.5,True,200,-1,0,0.1299524564183835
pc1,sigmoid,3,scale,0.0,0.001,0.5,True,200,-1,0,0.0665610142630744
pc1,rbf,3,auto,0.0,0.001,0.5,True,200,-1,0,0.1135225375626043
pc1,rbf,3,scale,0.0,0.1,0.5,True,200,-1,0,0.1299524564183835
pc1,rbf,3,scale,0.0,0.01,0.5,True,200,-1,0,0.1299524564183835
pc1,rbf,3,scale,0.0,0.0001,0.5,True,200,-1,0,0.1299524564183835
pc1,rbf,3,scale,0.0,1e-05,0.5,True,200,-1,0,0.1299524564183835
pc1,rbf,3,scale,0.0,0.001,0.1,True,200,-1,0,0.1375661375661376
pc1,rbf,3,scale,0.0,0.001,0.2,True,200,-1,0,0.1939799331103679
pc1,rbf,3,scale,0.0,0.001,0.3,True,200,-1,0,0.1557177615571776
pc1,rbf,3,scale,0.0,0.001,0.4,True,200,-1,0,0.1305182341650671
pc1,rbf,3,scale,0.0,0.001,0.6,True,200,-1,0,0.1293800539083558
pc1,rbf,3,scale,0.0,0.001,0.7,True,200,-1,0,0.1239766081871344
pc1,rbf,3,scale,0.0,0.001,0.8,True,200,-1,0,0.1181347150259067
pc1,rbf,3,scale,0.0,0.001,0.9,True,200,-1,0,0.1301115241635687
pc1,rbf,3,scale,0.0,0.001,0.5,False,200,-1,0,0.1299524564183835
pc1,rbf,3,scale,0.0,0.001,0.5,True,50,-1,0,0.1299524564183835
pc1,rbf,3,scale,0.0,0.001,0.5,True,100,-1,0,0.1299524564183835
pc1,rbf,3,scale,0.0,0.001,0.5,True,400,-1,0,0.1299524564183835
pc1,rbf,3,scale,0.0,0.001,0.5,True,200,50,0,0.1320574162679426
pc1,rbf,3,scale,0.0,0.001,0.5,True,200,100,0,0.1288014311270125
pc1,rbf,3,scale,0.0,0.001,0.5,True,200,150,0,0.1298482293423271
pc1,rbf,3,scale,0.0,0.001,0.5,True,200,200,0,0.1298482293423271
pc1,rbf,3,scale,0.0,0.001,0.5,True,200,250,0,0.1298482293423271
pc1,rbf,3,scale,0.0,0.001,0.5,True,200,300,0,0.1298482293423271
pc1,linear,3,scale,0.0,0.001,0.5,True,200,50,2,0.0913705583756345
pc1,poly,3,scale,0.0,0.001,0.5,True,200,50,2,0.0914634146341463
pc1,sigmoid,3,scale,0.0,0.001,0.5,True,200,50,2,0.0913705583756345
pc1,rbf,3,scale,0.0,0.1,0.5,True,200,50,2,0.1320574162679426
pc1,rbf,3,scale,0.0,0.01,0.5,True,200,50,2,0.1320574162679426
pc1,rbf,3,scale,0.0,0.0001,0.5,True,200,50,2,0.1320574162679426
pc1,rbf,3,scale,0.0,1e-05,0.5,True,200,50,2,0.1320574162679426
pc1,rbf,3,scale,0.0,0.001,0.1,True,200,50,2,0.1046277665995975
pc1,rbf,3,scale,0.0,0.001,0.2,True,200,50,2,0.1289701636188643
pc1,rbf,3,scale,0.0,0.001,0.3,True,200,50,2,0.2159090909090909
pc1,rbf,3,scale,0.0,0.001,0.4,True,200,50,2,0.1320388349514563
pc1,rbf,3,scale,0.0,0.001,0.6,True,200,50,2,0.1343511450381679
pc1,rbf,3,scale,0.0,0.001,0.7,True,200,50,2,0.12984496124031
pc1,rbf,3,scale,0.0,0.001,0.8,True,200,50,2,0.1181347150259067
pc1,rbf,3,scale,0.0,0.001,0.9,True,200,50,2,0.1298701298701298
pc1,rbf,3,scale,0.0,0.001,0.5,False,200,50,2,0.1320574162679426
pc1,rbf,3,scale,0.0,0.001,0.5,True,50,50,2,0.1320574162679426
pc1,rbf,3,scale,0.0,0.001,0.5,True,100,50,2,0.1320574162679426
pc1,rbf,3,scale,0.0,0.001,0.5,True,400,50,2,0.1320574162679426
pc1,linear,3,scale,0.0,1e-05,0.5,True,200,50,3,0.0913705583756345
pc1,poly,3,scale,0.0,1e-05,0.5,True,200,50,3,0.0914634146341463
pc1,sigmoid,3,scale,0.0,1e-05,0.5,True,200,50,3,0.0913705583756345
pc1,rbf,3,scale,0.0,1e-05,0.1,True,200,50,3,0.1046277665995975
pc1,rbf,3,scale,0.0,1e-05,0.2,True,200,50,3,0.1289701636188643
pc1,rbf,3,scale,0.0,1e-05,0.3,True,200,50,3,0.2159090909090909
pc1,rbf,3,scale,0.0,1e-05,0.4,True,200,50,3,0.1320388349514563
pc1,rbf,3,scale,0.0,1e-05,0.6,True,200,50,3,0.1343511450381679
pc1,rbf,3,scale,0.0,1e-05,0.7,True,200,50,3,0.12984496124031
pc1,rbf,3,scale,0.0,1e-05,0.8,True,200,50,3,0.1181347150259067
pc1,rbf,3,scale,0.0,1e-05,0.9,True,200,50,3,0.1298701298701298
pc1,rbf,3,scale,0.0,1e-05,0.5,False,200,50,3,0.1320574162679426
pc1,rbf,3,scale,0.0,1e-05,0.5,True,50,50,3,0.1320574162679426
pc1,rbf,3,scale,0.0,1e-05,0.5,True,100,50,3,0.1320574162679426
pc1,rbf,3,scale,0.0,1e-05,0.5,True,400,50,3,0.1320574162679426
pc1,linear,3,scale,0.0,1e-05,0.5,False,200,50,4,0.0913705583756345
pc1,poly,3,scale,0.0,1e-05,0.5,False,200,50,4,0.0914634146341463
pc1,sigmoid,3,scale,0.0,1e-05,0.5,False,200,50,4,0.0913705583756345
pc1,rbf,3,scale,0.0,1e-05,0.1,False,200,50,4,0.1046277665995975
pc1,rbf,3,scale,0.0,1e-05,0.2,False,200,50,4,0.1289701636188643
pc1,rbf,3,scale,0.0,1e-05,0.3,False,200,50,4,0.2159090909090909
pc1,rbf,3,scale,0.0,1e-05,0.4,False,200,50,4,0.1320388349514563
pc1,rbf,3,scale,0.0,1e-05,0.6,False,200,50,4,0.1343511450381679
