Filename,kernel,degree,gamma,coef0,tol,nu,shrinking,cache_size,max_iter,Parameter_Iteration,R
pima,linear,3,scale,0.0,0.001,0.5,True,200,-1,0,0.2361963190184049
pima,poly,3,scale,0.0,0.001,0.5,True,200,-1,0,0.2361963190184049
pima,rbf,3,scale,0.0,0.001,0.5,True,200,-1,0,0.5429447852760736
pima,sigmoid,3,scale,0.0,0.001,0.5,True,200,-1,0,0.2331288343558282
pima,rbf,3,auto,0.0,0.001,0.5,True,200,-1,0,0.4400656814449918
pima,rbf,3,scale,0.0,0.1,0.5,True,200,-1,0,0.5421133231240428
pima,rbf,3,scale,0.0,0.01,0.5,True,200,-1,0,0.543778801843318
pima,rbf,3,scale,0.0,0.0001,0.5,True,200,-1,0,0.543778801843318
pima,rbf,3,scale,0.0,1e-05,0.5,True,200,-1,0,0.543778801843318
pima,rbf,3,scale,0.0,0.001,0.1,True,200,-1,0,0.2383720930232558
pima,rbf,3,scale,0.0,0.001,0.2,True,200,-1,0,0.3904761904761905
pima,rbf,3,scale,0.0,0.001,0.3,True,200,-1,0,0.4729458917835671
pima,rbf,3,scale,0.0,0.001,0.4,True,200,-1,0,0.528695652173913
pima,rbf,3,scale,0.0,0.001,0.6,True,200,-1,0,0.543956043956044
pima,rbf,3,scale,0.0,0.001,0.7,True,200,-1,0,0.5278810408921933
pima,rbf,3,scale,0.0,0.001,0.8,True,200,-1,0,0.5328798185941043
pima,rbf,3,scale,0.0,0.001,0.9,True,200,-1,0,0.5380604796663191
pima,rbf,3,scale,0.0,0.001,0.5,False,200,-1,0,0.5429447852760736
pima,rbf,3,scale,0.0,0.001,0.5,True,50,-1,0,0.5429447852760736
pima,rbf,3,scale,0.0,0.001,0.5,True,100,-1,0,0.5429447852760736
pima,rbf,3,scale,0.0,0.001,0.5,True,400,-1,0,0.5429447852760736
pima,rbf,3,scale,0.0,0.001,0.5,True,200,50,0,0.496031746031746
pima,rbf,3,scale,0.0,0.001,0.5,True,200,100,0,0.5616438356164385
pima,rbf,3,scale,0.0,0.001,0.5,True,200,150,0,0.5525525525525525
pima,rbf,3,scale,0.0,0.001,0.5,True,200,200,0,0.5379113018597997
pima,rbf,3,scale,0.0,0.001,0.5,True,200,250,0,0.5429447852760736
pima,rbf,3,scale,0.0,0.001,0.5,True,200,300,0,0.5429447852760736
pima,linear,3,scale,0.0,0.001,0.5,True,200,50,2,0.5019685039370079
pima,poly,3,scale,0.0,0.001,0.5,True,200,50,2,0.5169409486931268
pima,sigmoid,3,scale,0.0,0.001,0.5,True,200,50,2,0.2708618331053351
pima,rbf,3,scale,0.0,0.1,0.5,True,200,50,2,0.496031746031746
pima,rbf,3,scale,0.0,0.01,0.5,True,200,50,2,0.496031746031746
pima,rbf,3,scale,0.0,0.0001,0.5,True,200,50,2,0.496031746031746
pima,rbf,3,scale,0.0,1e-05,0.5,True,200,50,2,0.496031746031746
pima,rbf,3,scale,0.0,0.001,0.1,True,200,50,2,0.3828715365239294
pima,rbf,3,scale,0.0,0.001,0.2,True,200,50,2,0.5245901639344263
pima,rbf,3,scale,0.0,0.001,0.3,True,200,50,2,0.5449515905947441
pima,rbf,3,scale,0.0,0.001,0.4,True,200,50,2,0.2808988764044944
pima,rbf,3,scale,0.0,0.001,0.6,True,200,50,2,0.5684210526315789
pima,rbf,3,scale,0.0,0.001,0.7,True,200,50,2,0.4910179640718563
pima,rbf,3,scale,0.0,0.001,0.8,True,200,50,2,0.5757071547420964
pima,rbf,3,scale,0.0,0.001,0.9,True,200,50,2,0.5380577427821522
pima,rbf,3,scale,0.0,0.001,0.5,False,200,50,2,0.496031746031746
pima,rbf,3,scale,0.0,0.001,0.5,True,50,50,2,0.496031746031746
pima,rbf,3,scale,0.0,0.001,0.5,True,100,50,2,0.496031746031746
pima,rbf,3,scale,0.0,0.001,0.5,True,400,50,2,0.496031746031746
pima,linear,3,scale,0.0,1e-05,0.5,True,200,50,3,0.5019685039370079
pima,poly,3,scale,0.0,1e-05,0.5,True,200,50,3,0.5169409486931268
pima,sigmoid,3,scale,0.0,1e-05,0.5,True,200,50,3,0.2708618331053351
pima,rbf,3,scale,0.0,1e-05,0.1,True,200,50,3,0.3828715365239294
pima,rbf,3,scale,0.0,1e-05,0.2,True,200,50,3,0.5245901639344263
pima,rbf,3,scale,0.0,1e-05,0.3,True,200,50,3,0.5449515905947441
pima,rbf,3,scale,0.0,1e-05,0.4,True,200,50,3,0.2808988764044944
pima,rbf,3,scale,0.0,1e-05,0.6,True,200,50,3,0.5684210526315789
pima,rbf,3,scale,0.0,1e-05,0.7,True,200,50,3,0.4910179640718563
pima,rbf,3,scale,0.0,1e-05,0.8,True,200,50,3,0.5757071547420964
pima,rbf,3,scale,0.0,1e-05,0.9,True,200,50,3,0.5380577427821522
pima,rbf,3,scale,0.0,1e-05,0.5,False,200,50,3,0.496031746031746
pima,rbf,3,scale,0.0,1e-05,0.5,True,50,50,3,0.496031746031746
pima,rbf,3,scale,0.0,1e-05,0.5,True,100,50,3,0.496031746031746
pima,rbf,3,scale,0.0,1e-05,0.5,True,400,50,3,0.496031746031746
pima,linear,3,scale,0.0,1e-05,0.5,False,200,50,4,0.5019685039370079
pima,poly,3,scale,0.0,1e-05,0.5,False,200,50,4,0.5169409486931268
pima,sigmoid,3,scale,0.0,1e-05,0.5,False,200,50,4,0.2708618331053351
pima,rbf,3,scale,0.0,1e-05,0.1,False,200,50,4,0.3828715365239294
pima,rbf,3,scale,0.0,1e-05,0.2,False,200,50,4,0.5245901639344263
pima,rbf,3,scale,0.0,1e-05,0.3,False,200,50,4,0.5449515905947441
pima,rbf,3,scale,0.0,1e-05,0.4,False,200,50,4,0.2808988764044944
pima,rbf,3,scale,0.0,1e-05,0.6,False,200,50,4,0.5684210526315789
pima,rbf,3,scale,0.0,1e-05,0.7,False,200,50,4,0.4910179640718563
pima,rbf,3,scale,0.0,1e-05,0.8,False,200,50,4,0.5757071547420964
pima,rbf,3,scale,0.0,1e-05,0.9,False,200,50,4,0.5380577427821522
pima,rbf,3,scale,0.0,1e-05,0.5,False,50,50,4,0.496031746031746
pima,rbf,3,scale,0.0,1e-05,0.5,False,100,50,4,0.496031746031746
pima,rbf,3,scale,0.0,1e-05,0.5,False,400,50,4,0.496031746031746
pima,linear,3,scale,0.0,1e-05,0.5,False,50,50,5,0.5019685039370079
pima,poly,3,scale,0.0,1e-05,0.5,False,50,50,5,0.5169409486931268
pima,sigmoid,3,scale,0.0,1e-05,0.5,False,50,50,5,0.2708618331053351
pima,rbf,3,scale,0.0,1e-05,0.1,False,50,50,5,0.3828715365239294
pima,rbf,3,scale,0.0,1e-05,0.2,False,50,50,5,0.5245901639344263
pima,rbf,3,scale,0.0,1e-05,0.3,False,50,50,5,0.5449515905947441
pima,rbf,3,scale,0.0,1e-05,0.4,False,50,50,5,0.2808988764044944
