Filename,kernel,degree,gamma,coef0,tol,nu,shrinking,cache_size,max_iter,Parameter_Iteration,R
satimage-2,linear,3,scale,0.0,0.001,0.5,True,200,-1,0,0.0349815001681802
satimage-2,poly,3,scale,0.0,0.001,0.5,True,200,-1,0,0.0343203230148048
satimage-2,rbf,3,scale,0.0,0.001,0.5,True,200,-1,0,0.0477632021527077
satimage-2,sigmoid,3,scale,0.0,0.001,0.5,True,200,-1,0,0.024174327545114
satimage-2,rbf,3,auto,0.0,0.001,0.5,True,200,-1,0,0.0187065740245857
satimage-2,rbf,3,scale,0.0,0.1,0.5,True,200,-1,0,0.0477632021527077
satimage-2,rbf,3,scale,0.0,0.01,0.5,True,200,-1,0,0.0477632021527077
satimage-2,rbf,3,scale,0.0,0.0001,0.5,True,200,-1,0,0.047779273216689
satimage-2,rbf,3,scale,0.0,1e-05,0.5,True,200,-1,0,0.0477632021527077
satimage-2,rbf,3,scale,0.0,0.001,0.1,True,200,-1,0,0.2153846153846154
satimage-2,rbf,3,scale,0.0,0.001,0.2,True,200,-1,0,0.1151662611516626
satimage-2,rbf,3,scale,0.0,0.001,0.3,True,200,-1,0,0.0783664459161147
satimage-2,rbf,3,scale,0.0,0.001,0.4,True,200,-1,0,0.0593645484949832
satimage-2,rbf,3,scale,0.0,0.001,0.6,True,200,-1,0,0.0399662257247396
satimage-2,rbf,3,scale,0.0,0.001,0.7,True,200,-1,0,0.0343659244917715
satimage-2,rbf,3,scale,0.0,0.001,0.8,True,200,-1,0,0.0301294292382771
satimage-2,rbf,3,scale,0.0,0.001,0.9,True,200,-1,0,0.0268228182848507
satimage-2,rbf,3,scale,0.0,0.001,0.5,False,200,-1,0,0.0477632021527077
satimage-2,rbf,3,scale,0.0,0.001,0.5,True,50,-1,0,0.0477632021527077
satimage-2,rbf,3,scale,0.0,0.001,0.5,True,100,-1,0,0.0477632021527077
satimage-2,rbf,3,scale,0.0,0.001,0.5,True,400,-1,0,0.0477632021527077
satimage-2,rbf,3,scale,0.0,0.001,0.5,True,200,50,0,0.0778210116731517
satimage-2,rbf,3,scale,0.0,0.001,0.5,True,200,100,0,0.0767543859649122
satimage-2,rbf,3,scale,0.0,0.001,0.5,True,200,150,0,0.0748262960983431
satimage-2,rbf,3,scale,0.0,0.001,0.5,True,200,200,0,0.074034902168165
satimage-2,rbf,3,scale,0.0,0.001,0.5,True,200,250,0,0.0747761979989468
satimage-2,rbf,3,scale,0.0,0.001,0.5,True,200,300,0,0.0749736008447729
satimage-2,linear,3,scale,0.0,0.001,0.5,True,200,50,2,0.0276372129233164
satimage-2,poly,3,scale,0.0,0.001,0.5,True,200,50,2,0.0275996112730806
satimage-2,sigmoid,3,scale,0.0,0.001,0.5,True,200,50,2,0.024174327545114
satimage-2,rbf,3,scale,0.0,0.1,0.5,True,200,50,2,0.0778210116731517
satimage-2,rbf,3,scale,0.0,0.01,0.5,True,200,50,2,0.0778210116731517
satimage-2,rbf,3,scale,0.0,0.0001,0.5,True,200,50,2,0.0778210116731517
satimage-2,rbf,3,scale,0.0,1e-05,0.5,True,200,50,2,0.0778210116731517
satimage-2,rbf,3,scale,0.0,0.001,0.1,True,200,50,2,0.0430433464686268
satimage-2,rbf,3,scale,0.0,0.001,0.2,True,200,50,2,0.0375264270613107
satimage-2,rbf,3,scale,0.0,0.001,0.3,True,200,50,2,0.0340609258815063
satimage-2,rbf,3,scale,0.0,0.001,0.4,True,200,50,2,0.1450777202072538
satimage-2,rbf,3,scale,0.0,0.001,0.6,True,200,50,2,0.0281578425540352
satimage-2,rbf,3,scale,0.0,0.001,0.7,True,200,50,2,0.0258228768867066
satimage-2,rbf,3,scale,0.0,0.001,0.8,True,200,50,2,0.0498070852332514
satimage-2,rbf,3,scale,0.0,0.001,0.9,True,200,50,2,0.0799086757990867
satimage-2,rbf,3,scale,0.0,0.001,0.5,False,200,50,2,0.0778210116731517
satimage-2,rbf,3,scale,0.0,0.001,0.5,True,50,50,2,0.0778210116731517
satimage-2,rbf,3,scale,0.0,0.001,0.5,True,100,50,2,0.0778210116731517
satimage-2,rbf,3,scale,0.0,0.001,0.5,True,400,50,2,0.0778210116731517
satimage-2,linear,3,scale,0.0,1e-05,0.5,True,200,50,3,0.0276372129233164
satimage-2,poly,3,scale,0.0,1e-05,0.5,True,200,50,3,0.0275996112730806
satimage-2,sigmoid,3,scale,0.0,1e-05,0.5,True,200,50,3,0.024174327545114
satimage-2,rbf,3,scale,0.0,1e-05,0.1,True,200,50,3,0.0430433464686268
satimage-2,rbf,3,scale,0.0,1e-05,0.2,True,200,50,3,0.0375264270613107
satimage-2,rbf,3,scale,0.0,1e-05,0.3,True,200,50,3,0.0340609258815063
satimage-2,rbf,3,scale,0.0,1e-05,0.4,True,200,50,3,0.1450777202072538
satimage-2,rbf,3,scale,0.0,1e-05,0.6,True,200,50,3,0.0281578425540352
satimage-2,rbf,3,scale,0.0,1e-05,0.7,True,200,50,3,0.0258228768867066
satimage-2,rbf,3,scale,0.0,1e-05,0.8,True,200,50,3,0.0498070852332514
satimage-2,rbf,3,scale,0.0,1e-05,0.9,True,200,50,3,0.0799086757990867
satimage-2,rbf,3,scale,0.0,1e-05,0.5,False,200,50,3,0.0778210116731517
satimage-2,rbf,3,scale,0.0,1e-05,0.5,True,50,50,3,0.0778210116731517
satimage-2,rbf,3,scale,0.0,1e-05,0.5,True,100,50,3,0.0778210116731517
satimage-2,rbf,3,scale,0.0,1e-05,0.5,True,400,50,3,0.0778210116731517
satimage-2,linear,3,scale,0.0,1e-05,0.5,False,200,50,4,0.0276372129233164
satimage-2,poly,3,scale,0.0,1e-05,0.5,False,200,50,4,0.0275996112730806
satimage-2,sigmoid,3,scale,0.0,1e-05,0.5,False,200,50,4,0.024174327545114
satimage-2,rbf,3,scale,0.0,1e-05,0.1,False,200,50,4,0.0430433464686268
satimage-2,rbf,3,scale,0.0,1e-05,0.2,False,200,50,4,0.0375264270613107
satimage-2,rbf,3,scale,0.0,1e-05,0.3,False,200,50,4,0.0340609258815063
satimage-2,rbf,3,scale,0.0,1e-05,0.4,False,200,50,4,0.1450777202072538
satimage-2,rbf,3,scale,0.0,1e-05,0.6,False,200,50,4,0.0281578425540352
satimage-2,rbf,3,scale,0.0,1e-05,0.7,False,200,50,4,0.0258228768867066
satimage-2,rbf,3,scale,0.0,1e-05,0.8,False,200,50,4,0.0498070852332514
satimage-2,rbf,3,scale,0.0,1e-05,0.9,False,200,50,4,0.0799086757990867
satimage-2,rbf,3,scale,0.0,1e-05,0.5,False,50,50,4,0.0778210116731517
satimage-2,rbf,3,scale,0.0,1e-05,0.5,False,100,50,4,0.0778210116731517
satimage-2,rbf,3,scale,0.0,1e-05,0.5,False,400,50,4,0.0778210116731517
satimage-2,linear,3,scale,0.0,1e-05,0.5,False,50,50,5,0.0276372129233164
satimage-2,poly,3,scale,0.0,1e-05,0.5,False,50,50,5,0.0275996112730806
satimage-2,sigmoid,3,scale,0.0,1e-05,0.5,False,50,50,5,0.024174327545114
satimage-2,rbf,3,scale,0.0,1e-05,0.1,False,50,50,5,0.0430433464686268
satimage-2,rbf,3,scale,0.0,1e-05,0.2,False,50,50,5,0.0375264270613107
satimage-2,rbf,3,scale,0.0,1e-05,0.3,False,50,50,5,0.0340609258815063
satimage-2,rbf,3,scale,0.0,1e-05,0.4,False,50,50,5,0.1450777202072538
satimage-2,rbf,3,scale,0.0,1e-05,0.6,False,50,50,5,0.0281578425540352
satimage-2,rbf,3,scale,0.0,1e-05,0.7,False,50,50,5,0.0258228768867066
satimage-2,rbf,3,scale,0.0,1e-05,0.8,False,50,50,5,0.0498070852332514
satimage-2,rbf,3,scale,0.0,1e-05,0.9,False,50,50,5,0.0799086757990867
satimage-2,linear,3,scale,0.0,0.001,0.2,True,200,-1,0,0.0032467532467532
satimage-2,poly,3,scale,0.0,0.001,0.2,True,200,-1,0,0.0032493907392363
satimage-2,sigmoid,3,scale,0.0,0.001,0.2,True,200,-1,0,0.024174327545114
satimage-2,rbf,3,auto,0.0,0.001,0.2,True,200,-1,0,0.0235136042996305
satimage-2,rbf,3,scale,0.0,0.1,0.2,True,200,-1,0,0.1154471544715447
satimage-2,rbf,3,scale,0.0,0.01,0.2,True,200,-1,0,0.1153533712428919
satimage-2,rbf,3,scale,0.0,0.0001,0.2,True,200,-1,0,0.1151662611516626
satimage-2,rbf,3,scale,0.0,1e-05,0.2,True,200,-1,0,0.1152597402597402
satimage-2,rbf,3,scale,0.0,0.001,0.099138376701706,True,200,-1,0,0.2160493827160493
satimage-2,rbf,3,scale,0.0,0.001,0.023780803032914,True,200,-1,0,0.354066985645933
satimage-2,rbf,3,scale,0.0,0.001,0.2,False,200,-1,0,0.1151662611516626
satimage-2,rbf,3,scale,0.0,0.001,0.2,True,50,-1,0,0.1151662611516626
satimage-2,rbf,3,scale,0.0,0.001,0.2,True,100,-1,0,0.1151662611516626
satimage-2,rbf,3,scale,0.0,0.001,0.2,True,400,-1,0,0.1151662611516626
satimage-2,rbf,3,scale,0.0,0.001,0.2,True,200,100,0,0.0386079390973355
satimage-2,rbf,3,scale,0.0,0.001,0.2,True,200,150,0,0.039653728008936
satimage-2,rbf,3,scale,0.0,0.001,0.2,True,200,200,0,0.0405714285714285
satimage-2,rbf,3,scale,0.0,0.001,0.2,True,200,250,0,0.0431217734588521
satimage-2,rbf,3,scale,0.0,0.001,0.2,True,200,300,0,0.0431479793375873
satimage-2,linear,3,scale,0.0,1e-05,0.2,True,200,-1,2,0.0032467532467532
satimage-2,poly,3,scale,0.0,1e-05,0.2,True,200,-1,2,0.0032493907392363
satimage-2,sigmoid,3,scale,0.0,1e-05,0.2,True,200,-1,2,0.024174327545114
