,ContaminationFraction,NumLearners,NumObservationsPerLearner,F1_Median,F1_Range,ARI_Median
0,0,1,auto,0.0,0.0,1.0
1,0,2,auto,0.0,0.0,1.0
2,0,4,auto,0.0,0.0,1.0
3,0,8,auto,0.0,0.0,1.0
4,0,16,auto,0.0,0.0,1.0
5,0,32,auto,0.0,0.0,1.0
6,0,64,auto,0.0,0.0,1.0
7,0,100,0.05,0.0,0.0,1.0
8,0,100,0.1,0.0,0.0,1.0
9,0,100,0.2,0.0,0.0,1.0
10,0,100,0.5,0.0,0.0,1.0
11,0,100,1,0.0,0.0,1.0
12,0,100,auto,0.0,0.0,1.0
13,0,128,auto,0.0,0.0,1.0
14,0,256,auto,0.0,0.0,1.0
15,0,512,auto,0.0,0.0,1.0
16,0.05,100,auto,0.2225243641252662,0.10825927623319563,0.8304165247976998
17,0.1,100,auto,0.26027928532556477,0.08300584073789163,0.8390268419929079
18,0.15,100,auto,0.2764044929384648,0.07699948177735443,0.818928676103927
19,0.2,100,auto,0.2789066194593288,0.056899194494344246,0.806023724194396
20,0.25,100,auto,0.2790428550862902,0.031630773623192096,0.796384728448431
21,IF,1,auto,0.1835955145678296,0.3293802309862816,0.16162645592883548
22,IF,2,auto,0.22038884146078713,0.20585181638473612,0.2692949810656292
23,IF,4,auto,0.24269054353053046,0.1628488486898576,0.38592097943623227
24,IF,8,auto,0.2550775406377984,0.12583358186267785,0.5035529038774352
25,IF,16,auto,0.26355103919110967,0.12373471817341007,0.6052834209411946
26,IF,32,auto,0.2695436334207584,0.06469382355864225,0.7058317503776075
27,IF,64,auto,0.27075312832882276,0.05949051274466912,0.7720857545867298
28,IF,100,0.05,0.280425326070229,0.0896429261949299,0.7150629022244623
29,IF,100,0.1,0.28528050025101565,0.06634063188049394,0.7668526679540846
30,IF,100,0.2,0.2829964589533306,0.07281504103469091,0.798624573158258
31,IF,100,0.5,0.27874201385091274,0.0612560040913405,0.8018804092653868
32,IF,100,1,0.2695294018291859,0.04908481096979352,0.8147665149646919
33,IF,100,auto,0.27433479602694955,0.050698850534472976,0.8092758924935273
34,IF,128,auto,0.2755217525946243,0.04029634754759689,0.82414304913539
35,IF,256,auto,0.27514263847324566,0.04174814361509158,0.8635102639531115
36,IF,512,0.05,0.28385217409737523,0.05530210628808499,0.8535893999167738
37,IF,512,0.1,0.28664103658937007,0.02900963512653307,0.8801596394544391
38,IF,512,0.2,0.2878996080926562,0.04713683189496604,0.8922859004778667
39,IF,512,0.5,0.28100440747566524,0.041540116219165105,0.8918605626281836
40,IF,512,1,0.27304832808508295,0.019558337992620974,0.9014966965357912
41,IF,512,auto,0.2769268572264047,0.02597056264261773,0.8899168966645233
42,LOF,100,auto,0.21019189783901804,0.051441141442066345,0.8598629022872066
