,Filename,ContaminationFraction,KernelScale,Lambda,NumExpansionDimensions,StandardizeData,BetaTolerance,GradientTolerance,IterationLimit,Parameter_Iteration,F1_Median,F1_Range,ARI_Median
0,CastMetal1,0,1,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
1,CastMetal1,0.05,1,auto,auto,0,0.0001,0.0001,1000,8,0.07241379310344824,0.4666666666666671,-0.0069078896516696344
2,CastMetal1,0.1,1,auto,auto,0,0.0001,0.0001,1000,8,0.1253333333333333,0.29729729729729737,-0.0065450057736905895
3,CastMetal1,0.15,1,auto,auto,0,0.0001,0.0001,1000,8,0.14285714285714282,0.20754716981132104,-0.0011664453418885122
4,CastMetal1,0.2,1,auto,auto,0,0.0001,0.0001,1000,8,0.18130841121495325,0.052631578947368675,-0.00651121792072408
5,CastMetal1,0.25,1,auto,auto,0,0.0001,0.0001,1000,8,0.14193548387096772,0.20547945205479465,-0.0029201443064089047
6,CastMetal1,LOF,1,auto,auto,0,0.0001,0.0001,1000,8,0.03928571428571427,0.75,-0.004549995425673304
7,CastMetal1,IF,1,auto,auto,0,0.0001,0.0001,1000,8,0.11199999999999996,0.24999999999999986,-0.006522604380353412
8,CastMetal1,0,auto,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
9,CastMetal1,0,0.01,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
10,CastMetal1,0,0.05,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
11,CastMetal1,0,0.1,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
12,CastMetal1,0,0.2,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
13,CastMetal1,0,0.5,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
14,CastMetal1,0,2,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
15,CastMetal1,0,5,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
16,CastMetal1,0,1,0.01,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
17,CastMetal1,0,1,0.05,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
18,CastMetal1,0,1,0.1,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
19,CastMetal1,0,1,0.2,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
20,CastMetal1,0,1,0.5,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
21,CastMetal1,0,1,1,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
22,CastMetal1,0,1,2,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
23,CastMetal1,0,1,5,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
24,CastMetal1,0,1,auto,auto,1,0.0001,0.0001,1000,8,0.0,0.0,1.0
25,CastMetal1,0,1,auto,auto,0,0.01,0.0001,1000,8,0.0,0.0,1.0
26,CastMetal1,0,1,auto,auto,0,0.001,0.0001,1000,8,0.0,0.0,1.0
27,CastMetal1,0,1,auto,auto,0,1e-05,0.0001,1000,8,0.0,0.0,1.0
28,CastMetal1,0,1,auto,auto,0,0.0001,0.001,1000,8,0.0,0.0,1.0
29,CastMetal1,0,1,auto,auto,0,0.0001,1e-05,1000,8,0.0,0.0,1.0
30,CastMetal1,0,1,auto,auto,0,0.0001,1e-06,1000,8,0.0,0.0,1.0
31,CastMetal1,0,1,auto,auto,0,0.0001,0.0001,100,8,0.0,0.0,1.0
32,CastMetal1,0,1,auto,auto,0,0.0001,0.0001,200,8,0.0,0.0,1.0
33,CastMetal1,0,1,auto,auto,0,0.0001,0.0001,500,8,0.0,0.0,1.0
34,CastMetal1,0,1,auto,auto,0,0.0001,0.0001,2000,8,0.0,0.0,1.0
35,CostaMadre1,0,1,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
36,CostaMadre1,0.05,1,auto,auto,0,0.0001,0.0001,1000,8,0.08301886792452826,0.4117647058823534,0.00257638995711605
37,CostaMadre1,0.1,1,auto,auto,0,0.0001,0.0001,1000,8,0.08235294117647055,0.5833333333333336,0.002505032511522967
38,CostaMadre1,0.15,1,auto,auto,0,0.0001,0.0001,1000,8,0.11951219512195117,0.17948717948717932,-0.006025897491982889
39,CostaMadre1,0.2,1,auto,auto,0,0.0001,0.0001,1000,8,0.1298969072164948,0.14285714285714307,0.00510565063219101
40,CostaMadre1,0.25,1,auto,auto,0,0.0001,0.0001,1000,8,0.16249999999999992,0.2266666666666665,0.0006457691534072265
41,CostaMadre1,LOF,1,auto,auto,0,0.0001,0.0001,1000,8,0.07450980392156861,0.4666666666666667,-0.00602524503630178
42,CostaMadre1,IF,1,auto,auto,0,0.0001,0.0001,1000,8,0.10434782608695647,0.14285714285714285,-0.004579847966291781
43,CostaMadre1,0,auto,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
44,CostaMadre1,0,0.01,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
45,CostaMadre1,0,0.05,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
46,CostaMadre1,0,0.1,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
47,CostaMadre1,0,0.2,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
48,CostaMadre1,0,0.5,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
49,CostaMadre1,0,2,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
50,CostaMadre1,0,5,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
51,CostaMadre1,0,1,0.01,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
52,CostaMadre1,0,1,0.05,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
53,CostaMadre1,0,1,0.1,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
54,CostaMadre1,0,1,0.2,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
55,CostaMadre1,0,1,0.5,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
56,CostaMadre1,0,1,1,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
57,CostaMadre1,0,1,2,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
58,CostaMadre1,0,1,5,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
59,CostaMadre1,0,1,auto,auto,1,0.0001,0.0001,1000,8,0.0,0.0,1.0
60,CostaMadre1,0,1,auto,auto,0,0.01,0.0001,1000,8,0.0,0.0,1.0
61,CostaMadre1,0,1,auto,auto,0,0.001,0.0001,1000,8,0.0,0.0,1.0
62,CostaMadre1,0,1,auto,auto,0,1e-05,0.0001,1000,8,0.0,0.0,1.0
63,CostaMadre1,0,1,auto,auto,0,0.0001,0.001,1000,8,0.0,0.0,1.0
64,CostaMadre1,0,1,auto,auto,0,0.0001,1e-05,1000,8,0.0,0.0,1.0
65,CostaMadre1,0,1,auto,auto,0,0.0001,1e-06,1000,8,0.0,0.0,1.0
66,CostaMadre1,0,1,auto,auto,0,0.0001,0.0001,100,8,0.0,0.0,1.0
67,CostaMadre1,0,1,auto,auto,0,0.0001,0.0001,200,8,0.0,0.0,1.0
68,CostaMadre1,0,1,auto,auto,0,0.0001,0.0001,500,8,0.0,0.0,1.0
69,CostaMadre1,0,1,auto,auto,0,0.0001,0.0001,2000,8,0.0,0.0,1.0
70,KnuggetChase3,0,1,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
71,KnuggetChase3,0.05,1,auto,auto,0,0.0001,0.0001,1000,8,0.09565217391304345,0.41176470588235287,0.010205639533569292
