,Filename,Configuration,Mean ARI,Min ARI
0,CastMetal1,Default,0.0,0.0
1,CostaMadre1,Default,0.0,0.0
2,KnuggetChase3,Default,0.0,0.0
3,KungChi3,Default,0.0,0.0
4,MeanWhile1,Default,0.0,0.0
5,MegaWatt1,Default,0.0,0.0
6,PieChart1,Default,0.0,0.0
7,PieChart2,Default,0.0,0.0
8,PieChart3,Default,0.0,0.0
9,PizzaCutter1,Default,0.0,0.0
10,PizzaCutter3,Default,0.0,0.0
11,analcatdata_apnea1,Default,0.0,0.0
12,analcatdata_apnea2,Default,0.0,0.0
13,analcatdata_apnea3,Default,0.0,0.0
14,analcatdata_challenger,Default,0.0,0.0
15,analcatdata_chlamydia,Default,0.0,0.0
16,analcatdata_lawsuit,Default,0.0,0.0
17,analcatdata_neavote,Default,0.0,0.0
18,annthyroid,Default,0.0,0.0
19,appendicitis,Default,0.0,0.0
20,ar1,Default,0.0,0.0
21,ar3,Default,0.0,0.0
22,ar4,Default,0.0,0.0
23,ar6,Default,0.0,0.0
24,arsenic-female-bladder,Default,0.0,0.0
25,arsenic-female-lung,Default,0.0,0.0
26,arsenic-male-bladder,Default,0.0,0.0
27,arsenic-male-lung,Default,0.0,0.0
28,backache,Default,0.0,0.0
29,breastw,Default,0.0,0.0
30,cardio,Default,0.0,0.0
31,climate-model-simulation-crashes,Default,0.0,0.0
32,datatrieve,Default,0.0,0.0
33,fertility,Default,0.0,0.0
34,flare,Default,0.0,0.0
35,glass,Default,0.0,0.0
36,ionosphere,Default,0.0,0.0
37,kc3,Default,0.0,0.0
38,letter,Default,0.0,0.0
39,lungcancer_GSE31210,Default,0.0,0.0
40,lympho,Default,0.0,0.0
41,mw1,Default,0.0,0.0
42,optdigits,Default,0.0,0.0
43,pc1,Default,0.0,0.0
44,pima,Default,0.0,0.0
45,satellite,Default,0.0,0.0
46,satimage-2,Default,0.0,0.0
47,thoracic_surgery,Default,0.0,0.0
48,thyroid,Default,0.0,0.0
49,vertebral,Default,0.0,0.0
50,visualizing_livestock,Default,0.0,0.0
51,vowels,Default,0.0,0.0
52,wbc,Default,0.0,0.0
53,wine,Default,0.0,0.0
54,CastMetal1,Configure 1,-0.001049562485395857,-0.001979125642508464
55,CostaMadre1,Configure 1,-0.0005856354602271169,-0.0021229285433232983
56,KnuggetChase3,Configure 1,-0.0005034554548006179,-0.003233342099970606
57,KungChi3,Configure 1,0.0030518481380311887,-0.005294595622558003
58,MeanWhile1,Configure 1,0.0020099034125071443,-0.002551134118038613
59,MegaWatt1,Configure 1,0.0006566285408067547,-0.002551134118038613
60,PieChart1,Configure 1,-4.9942324670219546e-05,-0.0005703091268792814
61,PieChart2,Configure 1,0.0002827532083833441,-0.0008598005724309852
62,PieChart3,Configure 1,-5.6174238034493844e-05,-0.0005730647569070373
63,PizzaCutter1,Configure 1,-3.1523112563686375e-05,-0.0009497415556723982
64,PizzaCutter3,Configure 1,-0.0004353277240894891,-0.00061487488837918
65,analcatdata_apnea1,Configure 1,0.03378394480253055,-0.0015953129812523747
66,analcatdata_apnea2,Configure 1,0.0451685352841595,-0.0015953129812523747
67,analcatdata_apnea3,Configure 1,0.01615329881071037,-0.0015410883381215491
68,analcatdata_challenger,Configure 1,0.015187279888191527,-0.0031159560100327997
69,analcatdata_chlamydia,Configure 1,0.032558593749999996,-0.007080078125
