Filename,kernel,degree,gamma,coef0,tolerance,nu,shrinking,cachesize,epsilon,Parameter_Iteration,R
CastMetal1,linear,3,scale,0,0.001,0.5,TRUE,200,0.1,0,0.16101694915254236
CastMetal1,polynomial,3,scale,0,0.001,0.5,TRUE,200,0.1,0,0.27530364372469635
CastMetal1,radial,3,scale,0,0.001,0.5,TRUE,200,0.1,0,0.125
CastMetal1,sigmoid,3,scale,0,0.001,0.5,TRUE,200,0.1,0,0.26609442060085836
CastMetal1,radial,3,auto,0,0.001,0.5,TRUE,200,0.1,0,0.175609756097561
CastMetal1,radial,3,scale,0.1,0.001,0.5,TRUE,200,0.1,0,0.125
CastMetal1,radial,3,scale,0.2,0.001,0.5,TRUE,200,0.1,0,0.125
CastMetal1,radial,3,scale,0.3,0.001,0.5,TRUE,200,0.1,0,0.125
CastMetal1,radial,3,scale,0.4,0.001,0.5,TRUE,200,0.1,0,0.125
CastMetal1,radial,3,scale,0,0.001,0.1,TRUE,200,0.1,0,0.1910828025477707
CastMetal1,radial,3,scale,0,0.001,0.2,TRUE,200,0.1,0,0.18050541516245489
CastMetal1,radial,3,scale,0,0.001,0.3,TRUE,200,0.1,0,0.04545454545454545
CastMetal1,radial,3,scale,0,0.001,0.4,TRUE,200,0.1,0,0.1627906976744186
CastMetal1,radial,3,scale,0,0.001,0.6,TRUE,200,0.1,0,0.20289855072463767
CastMetal1,radial,3,scale,0,0.001,0.7,TRUE,200,0.1,0,0.15151515151515152
CastMetal1,radial,3,scale,0,0.001,0.8,TRUE,200,0.1,0,0.2011173184357542
CastMetal1,radial,3,scale,0,0.001,0.9,TRUE,200,0.1,0,0.18666666666666668
CastMetal1,radial,3,scale,0,0.001,0.5,FALSE,200,0.1,0,0.125
CastMetal1,radial,3,scale,0,0.001,0.5,TRUE,50,0.1,0,0.125
CastMetal1,radial,3,scale,0,0.001,0.5,TRUE,100,0.1,0,0.125
CastMetal1,radial,3,scale,0,0.001,0.5,TRUE,400,0.1,0,0.125
CastMetal1,radial,3,scale,0,0.001,0.5,TRUE,200,0.2,0,0.125
CastMetal1,radial,3,scale,0,0.001,0.5,TRUE,200,0.01,0,0.125
CastMetal1,radial,3,scale,0,0.001,0.5,TRUE,200,0.05,0,0.125
CostaMadre1,linear,3,scale,0,0.001,0.5,TRUE,200,0.1,0,0.1408450704225352
CostaMadre1,polynomial,3,scale,0,0.001,0.5,TRUE,200,0.1,0,0.048780487804878044
CostaMadre1,radial,3,scale,0,0.001,0.5,TRUE,200,0.1,0,0.22822822822822822
CostaMadre1,sigmoid,3,scale,0,0.001,0.5,TRUE,200,0.1,0,0.2147239263803681
CostaMadre1,radial,3,auto,0,0.001,0.5,TRUE,200,0.1,0,0.1837837837837838
CostaMadre1,radial,3,scale,0.1,0.001,0.5,TRUE,200,0.1,0,0.22822822822822822
CostaMadre1,radial,3,scale,0.2,0.001,0.5,TRUE,200,0.1,0,0.22822822822822822
CostaMadre1,radial,3,scale,0.3,0.001,0.5,TRUE,200,0.1,0,0.22822822822822822
CostaMadre1,radial,3,scale,0.4,0.001,0.5,TRUE,200,0.1,0,0.22822822822822822
CostaMadre1,radial,3,scale,0,0.001,0.1,TRUE,200,0.1,0,0.18666666666666668
CostaMadre1,radial,3,scale,0,0.001,0.2,TRUE,200,0.1,0,0.18493150684931509
CostaMadre1,radial,3,scale,0,0.001,0.3,TRUE,200,0.1,0,0.045454545454545456
CostaMadre1,radial,3,scale,0,0.001,0.4,TRUE,200,0.1,0,0.22356495468277945
CostaMadre1,radial,3,scale,0,0.001,0.6,TRUE,200,0.1,0,0.16666666666666669
CostaMadre1,radial,3,scale,0,0.001,0.7,TRUE,200,0.1,0,0.18473895582329317
CostaMadre1,radial,3,scale,0,0.001,0.8,TRUE,200,0.1,0,0.18079096045197743
CostaMadre1,radial,3,scale,0,0.001,0.9,TRUE,200,0.1,0,0.1951219512195122
CostaMadre1,radial,3,scale,0,0.001,0.5,FALSE,200,0.1,0,0.22822822822822822
CostaMadre1,radial,3,scale,0,0.001,0.5,TRUE,50,0.1,0,0.22822822822822822
CostaMadre1,radial,3,scale,0,0.001,0.5,TRUE,100,0.1,0,0.22822822822822822
CostaMadre1,radial,3,scale,0,0.001,0.5,TRUE,400,0.1,0,0.22822822822822822
CostaMadre1,radial,3,scale,0,0.001,0.5,TRUE,200,0.2,0,0.22822822822822822
CostaMadre1,radial,3,scale,0,0.001,0.5,TRUE,200,0.01,0,0.22822822822822822
CostaMadre1,radial,3,scale,0,0.001,0.5,TRUE,200,0.05,0,0.22822822822822822
KnuggetChase3,linear,3,scale,0,0.001,0.5,TRUE,200,0.1,0,0.24161073825503354
KnuggetChase3,polynomial,3,scale,0,0.001,0.5,TRUE,200,0.1,0,0.05263157894736842
KnuggetChase3,radial,3,scale,0,0.001,0.5,TRUE,200,0.1,0,0.30701754385964913
KnuggetChase3,sigmoid,3,scale,0,0.001,0.5,TRUE,200,0.1,0,0.24
KnuggetChase3,radial,3,auto,0,0.001,0.5,TRUE,200,0.1,0,0.18045112781954886
KnuggetChase3,radial,3,scale,0.1,0.001,0.5,TRUE,200,0.1,0,0.30701754385964913
KnuggetChase3,radial,3,scale,0.2,0.001,0.5,TRUE,200,0.1,0,0.30701754385964913
KnuggetChase3,radial,3,scale,0.3,0.001,0.5,TRUE,200,0.1,0,0.30701754385964913
KnuggetChase3,radial,3,scale,0.4,0.001,0.5,TRUE,200,0.1,0,0.30701754385964913
KnuggetChase3,radial,3,scale,0,0.001,0.1,TRUE,200,0.1,0,0.25380710659898476
KnuggetChase3,radial,3,scale,0,0.001,0.2,TRUE,200,0.1,0,0.21238938053097345
KnuggetChase3,radial,3,scale,0,0.001,0.3,TRUE,200,0.1,0,0.21428571428571427
KnuggetChase3,radial,3,scale,0,0.001,0.4,TRUE,200,0.1,0,0.1764705882352941
KnuggetChase3,radial,3,scale,0,0.001,0.6,TRUE,200,0.1,0,0.21428571428571427
KnuggetChase3,radial,3,scale,0,0.001,0.7,TRUE,200,0.1,0,0.0
KnuggetChase3,radial,3,scale,0,0.001,0.8,TRUE,200,0.1,0,0.2298850574712644
KnuggetChase3,radial,3,scale,0,0.001,0.9,TRUE,200,0.1,0,0.29357798165137616
KnuggetChase3,radial,3,scale,0,0.001,0.5,FALSE,200,0.1,0,0.30701754385964913
KnuggetChase3,radial,3,scale,0,0.001,0.5,TRUE,50,0.1,0,0.30701754385964913
KnuggetChase3,radial,3,scale,0,0.001,0.5,TRUE,100,0.1,0,0.30701754385964913
KnuggetChase3,radial,3,scale,0,0.001,0.5,TRUE,400,0.1,0,0.30701754385964913
KnuggetChase3,radial,3,scale,0,0.001,0.5,TRUE,200,0.2,0,0.30701754385964913
KnuggetChase3,radial,3,scale,0,0.001,0.5,TRUE,200,0.01,0,0.30701754385964913
KnuggetChase3,radial,3,scale,0,0.001,0.5,TRUE,200,0.05,0,0.30701754385964913
KungChi3,linear,3,scale,0,0.001,0.5,TRUE,200,0.1,0,0.14634146341463414
KungChi3,polynomial,3,scale,0,0.001,0.5,TRUE,200,0.1,0,0.0
KungChi3,radial,3,scale,0,0.001,0.5,TRUE,200,0.1,0,0.2302158273381295
KungChi3,sigmoid,3,scale,0,0.001,0.5,TRUE,200,0.1,0,0.0
KungChi3,radial,3,auto,0,0.001,0.5,TRUE,200,0.1,0,0.10126582278481013
KungChi3,radial,3,scale,0.1,0.001,0.5,TRUE,200,0.1,0,0.2302158273381295
KungChi3,radial,3,scale,0.2,0.001,0.5,TRUE,200,0.1,0,0.2302158273381295
KungChi3,radial,3,scale,0.3,0.001,0.5,TRUE,200,0.1,0,0.2302158273381295
KungChi3,radial,3,scale,0.4,0.001,0.5,TRUE,200,0.1,0,0.2302158273381295
KungChi3,radial,3,scale,0,0.001,0.1,TRUE,200,0.1,0,0.15789473684210528
KungChi3,radial,3,scale,0,0.001,0.2,TRUE,200,0.1,0,0.09523809523809525
KungChi3,radial,3,scale,0,0.001,0.3,TRUE,200,0.1,0,0.11764705882352941
KungChi3,radial,3,scale,0,0.001,0.4,TRUE,200,0.1,0,0.18032786885245902
KungChi3,radial,3,scale,0,0.001,0.6,TRUE,200,0.1,0,0.09523809523809525
KungChi3,radial,3,scale,0,0.001,0.7,TRUE,200,0.1,0,0.05714285714285714
KungChi3,radial,3,scale,0,0.001,0.8,TRUE,200,0.1,0,0.0
KungChi3,radial,3,scale,0,0.001,0.9,TRUE,200,0.1,0,0.11764705882352938
KungChi3,radial,3,scale,0,0.001,0.5,FALSE,200,0.1,0,0.2302158273381295
KungChi3,radial,3,scale,0,0.001,0.5,TRUE,50,0.1,0,0.2302158273381295
KungChi3,radial,3,scale,0,0.001,0.5,TRUE,100,0.1,0,0.2302158273381295
KungChi3,radial,3,scale,0,0.001,0.5,TRUE,400,0.1,0,0.2302158273381295
KungChi3,radial,3,scale,0,0.001,0.5,TRUE,200,0.2,0,0.2302158273381295
KungChi3,radial,3,scale,0,0.001,0.5,TRUE,200,0.01,0,0.2302158273381295
KungChi3,radial,3,scale,0,0.001,0.5,TRUE,200,0.05,0,0.2302158273381295
MeanWhile1,linear,3,scale,0,0.001,0.5,TRUE,200,0.1,0,0.07792207792207792
MeanWhile1,polynomial,3,scale,0,0.001,0.5,TRUE,200,0.1,0,0.33684210526315783
MeanWhile1,radial,3,scale,0,0.001,0.5,TRUE,200,0.1,0,0.09917355371900827
MeanWhile1,sigmoid,3,scale,0,0.001,0.5,TRUE,200,0.1,0,0.09821428571428571
MeanWhile1,radial,3,auto,0,0.001,0.5,TRUE,200,0.1,0,0.0784313725490196
MeanWhile1,radial,3,scale,0.1,0.001,0.5,TRUE,200,0.1,0,0.09917355371900827
MeanWhile1,radial,3,scale,0.2,0.001,0.5,TRUE,200,0.1,0,0.09917355371900827
MeanWhile1,radial,3,scale,0.3,0.001,0.5,TRUE,200,0.1,0,0.09917355371900827
MeanWhile1,radial,3,scale,0.4,0.001,0.5,TRUE,200,0.1,0,0.09917355371900827
MeanWhile1,radial,3,scale,0,0.001,0.1,TRUE,200,0.1,0,0.078125
MeanWhile1,radial,3,scale,0,0.001,0.2,TRUE,200,0.1,0,0.10810810810810811
MeanWhile1,radial,3,scale,0,0.001,0.3,TRUE,200,0.1,0,0.08264462809917356
MeanWhile1,radial,3,scale,0,0.001,0.4,TRUE,200,0.1,0,0.11764705882352942
MeanWhile1,radial,3,scale,0,0.001,0.6,TRUE,200,0.1,0,0.10714285714285715
MeanWhile1,radial,3,scale,0,0.001,0.7,TRUE,200,0.1,0,0.10762331838565023
MeanWhile1,radial,3,scale,0,0.001,0.8,TRUE,200,0.1,0,0.03571428571428571
MeanWhile1,radial,3,scale,0,0.001,0.9,TRUE,200,0.1,0,0.11428571428571431
MeanWhile1,radial,3,scale,0,0.001,0.5,FALSE,200,0.1,0,0.09917355371900827
MeanWhile1,radial,3,scale,0,0.001,0.5,TRUE,50,0.1,0,0.09917355371900827
MeanWhile1,radial,3,scale,0,0.001,0.5,TRUE,100,0.1,0,0.09917355371900827
MeanWhile1,radial,3,scale,0,0.001,0.5,TRUE,400,0.1,0,0.09917355371900827
MeanWhile1,radial,3,scale,0,0.001,0.5,TRUE,200,0.2,0,0.09917355371900827
MeanWhile1,radial,3,scale,0,0.001,0.5,TRUE,200,0.01,0,0.09917355371900827
MeanWhile1,radial,3,scale,0,0.001,0.5,TRUE,200,0.05,0,0.09917355371900827
MegaWatt1,linear,3,scale,0,0.001,0.5,TRUE,200,0.1,0,0.07792207792207792
MegaWatt1,polynomial,3,scale,0,0.001,0.5,TRUE,200,0.1,0,0.33684210526315783
MegaWatt1,radial,3,scale,0,0.001,0.5,TRUE,200,0.1,0,0.09917355371900827
MegaWatt1,sigmoid,3,scale,0,0.001,0.5,TRUE,200,0.1,0,0.09821428571428571
MegaWatt1,radial,3,auto,0,0.001,0.5,TRUE,200,0.1,0,0.0784313725490196
MegaWatt1,radial,3,scale,0.1,0.001,0.5,TRUE,200,0.1,0,0.09917355371900827
MegaWatt1,radial,3,scale,0.2,0.001,0.5,TRUE,200,0.1,0,0.09917355371900827
MegaWatt1,radial,3,scale,0.3,0.001,0.5,TRUE,200,0.1,0,0.09917355371900827
MegaWatt1,radial,3,scale,0.4,0.001,0.5,TRUE,200,0.1,0,0.09917355371900827
MegaWatt1,radial,3,scale,0,0.001,0.1,TRUE,200,0.1,0,0.078125
MegaWatt1,radial,3,scale,0,0.001,0.2,TRUE,200,0.1,0,0.10810810810810811
MegaWatt1,radial,3,scale,0,0.001,0.3,TRUE,200,0.1,0,0.08264462809917356
MegaWatt1,radial,3,scale,0,0.001,0.4,TRUE,200,0.1,0,0.11764705882352942
MegaWatt1,radial,3,scale,0,0.001,0.6,TRUE,200,0.1,0,0.10714285714285715
MegaWatt1,radial,3,scale,0,0.001,0.7,TRUE,200,0.1,0,0.10762331838565023
MegaWatt1,radial,3,scale,0,0.001,0.8,TRUE,200,0.1,0,0.03571428571428571
MegaWatt1,radial,3,scale,0,0.001,0.9,TRUE,200,0.1,0,0.11428571428571431
MegaWatt1,radial,3,scale,0,0.001,0.5,FALSE,200,0.1,0,0.09917355371900827
MegaWatt1,radial,3,scale,0,0.001,0.5,TRUE,50,0.1,0,0.09917355371900827
MegaWatt1,radial,3,scale,0,0.001,0.5,TRUE,100,0.1,0,0.09917355371900827
MegaWatt1,radial,3,scale,0,0.001,0.5,TRUE,400,0.1,0,0.09917355371900827
MegaWatt1,radial,3,scale,0,0.001,0.5,TRUE,200,0.2,0,0.09917355371900827
MegaWatt1,radial,3,scale,0,0.001,0.5,TRUE,200,0.01,0,0.09917355371900827
MegaWatt1,radial,3,scale,0,0.001,0.5,TRUE,200,0.05,0,0.09917355371900827
PieChart1,linear,3,scale,0,0.001,0.5,TRUE,200,0.1,0,0.08661417322834646
PieChart1,polynomial,3,scale,0,0.001,0.5,TRUE,200,0.1,0,0.24778761061946905
PieChart1,radial,3,scale,0,0.001,0.5,TRUE,200,0.1,0,0.12051649928263988
PieChart1,sigmoid,3,scale,0,0.001,0.5,TRUE,200,0.1,0,0.25210084033613445
PieChart1,radial,3,auto,0,0.001,0.5,TRUE,200,0.1,0,0.12590799031476996
PieChart1,radial,3,scale,0.1,0.001,0.5,TRUE,200,0.1,0,0.12051649928263988
PieChart1,radial,3,scale,0.2,0.001,0.5,TRUE,200,0.1,0,0.12051649928263988
PieChart1,radial,3,scale,0.3,0.001,0.5,TRUE,200,0.1,0,0.12051649928263988
PieChart1,radial,3,scale,0.4,0.001,0.5,TRUE,200,0.1,0,0.12051649928263988
PieChart1,radial,3,scale,0,0.001,0.1,TRUE,200,0.1,0,0.0
PieChart1,radial,3,scale,0,0.001,0.2,TRUE,200,0.1,0,0.15465268676277852
PieChart1,radial,3,scale,0,0.001,0.3,TRUE,200,0.1,0,0.0
PieChart1,radial,3,scale,0,0.001,0.4,TRUE,200,0.1,0,0.15465268676277852
PieChart1,radial,3,scale,0,0.001,0.6,TRUE,200,0.1,0,0.15465268676277852
PieChart1,radial,3,scale,0,0.001,0.7,TRUE,200,0.1,0,0.14318706697459582
PieChart1,radial,3,scale,0,0.001,0.8,TRUE,200,0.1,0,0.15465268676277852
PieChart1,radial,3,scale,0,0.001,0.9,TRUE,200,0.1,0,0.0
PieChart1,radial,3,scale,0,0.001,0.5,FALSE,200,0.1,0,0.12051649928263988
PieChart1,radial,3,scale,0,0.001,0.5,TRUE,50,0.1,0,0.12051649928263988
PieChart1,radial,3,scale,0,0.001,0.5,TRUE,100,0.1,0,0.12051649928263988
PieChart1,radial,3,scale,0,0.001,0.5,TRUE,400,0.1,0,0.12051649928263988
PieChart1,radial,3,scale,0,0.001,0.5,TRUE,200,0.2,0,0.12051649928263988
PieChart1,radial,3,scale,0,0.001,0.5,TRUE,200,0.01,0,0.12051649928263988
PieChart1,radial,3,scale,0,0.001,0.5,TRUE,200,0.05,0,0.12051649928263988
PieChart2,linear,3,scale,0,0.001,0.5,TRUE,200,0.1,0,0.047368421052631574
PieChart2,polynomial,3,scale,0,0.001,0.5,TRUE,200,0.1,0,0.048558421851289835
PieChart2,radial,3,scale,0,0.001,0.5,TRUE,200,0.1,0,0.030927835051546393
PieChart2,sigmoid,3,scale,0,0.001,0.5,TRUE,200,0.1,0,0.049844236760124616
PieChart2,radial,3,auto,0,0.001,0.5,TRUE,200,0.1,0,0.03084832904884319
PieChart2,radial,3,scale,0.1,0.001,0.5,TRUE,200,0.1,0,0.030927835051546393
PieChart2,radial,3,scale,0.2,0.001,0.5,TRUE,200,0.1,0,0.030927835051546393
PieChart2,radial,3,scale,0.3,0.001,0.5,TRUE,200,0.1,0,0.030927835051546393
PieChart2,radial,3,scale,0.4,0.001,0.5,TRUE,200,0.1,0,0.030927835051546393
PieChart2,radial,3,scale,0,0.001,0.1,TRUE,200,0.1,0,0.03508771929824562
PieChart2,radial,3,scale,0,0.001,0.2,TRUE,200,0.1,0,0.03978779840848806
PieChart2,radial,3,scale,0,0.001,0.3,TRUE,200,0.1,0,0.03966005665722379
PieChart2,radial,3,scale,0,0.001,0.4,TRUE,200,0.1,0,0.03758389261744967
PieChart2,radial,3,scale,0,0.001,0.6,TRUE,200,0.1,0,0.03867403314917127
PieChart2,radial,3,scale,0,0.001,0.7,TRUE,200,0.1,0,0.03464566929133858
PieChart2,radial,3,scale,0,0.001,0.8,TRUE,200,0.1,0,0.03867403314917127
PieChart2,radial,3,scale,0,0.001,0.9,TRUE,200,0.1,0,0.02568807339449541
PieChart2,radial,3,scale,0,0.001,0.5,FALSE,200,0.1,0,0.030927835051546393
PieChart2,radial,3,scale,0,0.001,0.5,TRUE,50,0.1,0,0.030927835051546393
PieChart2,radial,3,scale,0,0.001,0.5,TRUE,100,0.1,0,0.030927835051546393
PieChart2,radial,3,scale,0,0.001,0.5,TRUE,400,0.1,0,0.030927835051546393
PieChart2,radial,3,scale,0,0.001,0.5,TRUE,200,0.2,0,0.030927835051546393
PieChart2,radial,3,scale,0,0.001,0.5,TRUE,200,0.01,0,0.030927835051546393
PieChart2,radial,3,scale,0,0.001,0.5,TRUE,200,0.05,0,0.030927835051546393
PieChart3,linear,3,scale,0,0.001,0.5,TRUE,200,0.1,0,0.16978776529338327
PieChart3,polynomial,3,scale,0,0.001,0.5,TRUE,200,0.1,0,0.2359154929577465
PieChart3,radial,3,scale,0,0.001,0.5,TRUE,200,0.1,0,0.0
PieChart3,sigmoid,3,scale,0,0.001,0.5,TRUE,200,0.1,0,0.2453016815034619
PieChart3,radial,3,auto,0,0.001,0.5,TRUE,200,0.1,0,0.1488095238095238
PieChart3,radial,3,scale,0.1,0.001,0.5,TRUE,200,0.1,0,0.0
PieChart3,radial,3,scale,0.2,0.001,0.5,TRUE,200,0.1,0,0.0
PieChart3,radial,3,scale,0.3,0.001,0.5,TRUE,200,0.1,0,0.0
PieChart3,radial,3,scale,0.4,0.001,0.5,TRUE,200,0.1,0,0.0
PieChart3,radial,3,scale,0,0.001,0.1,TRUE,200,0.1,0,0.0
PieChart3,radial,3,scale,0,0.001,0.2,TRUE,200,0.1,0,0.0
PieChart3,radial,3,scale,0,0.001,0.3,TRUE,200,0.1,0,0.0
PieChart3,radial,3,scale,0,0.001,0.4,TRUE,200,0.1,0,0.0
PieChart3,radial,3,scale,0,0.001,0.6,TRUE,200,0.1,0,0.0
PieChart3,radial,3,scale,0,0.001,0.7,TRUE,200,0.1,0,0.0
PieChart3,radial,3,scale,0,0.001,0.8,TRUE,200,0.1,0,0.0
PieChart3,radial,3,scale,0,0.001,0.9,TRUE,200,0.1,0,0.0
PieChart3,radial,3,scale,0,0.001,0.5,FALSE,200,0.1,0,0.0
PieChart3,radial,3,scale,0,0.001,0.5,TRUE,50,0.1,0,0.0
PieChart3,radial,3,scale,0,0.001,0.5,TRUE,100,0.1,0,0.0
PieChart3,radial,3,scale,0,0.001,0.5,TRUE,400,0.1,0,0.0
PieChart3,radial,3,scale,0,0.001,0.5,TRUE,200,0.2,0,0.0
PieChart3,radial,3,scale,0,0.001,0.5,TRUE,200,0.01,0,0.0
PieChart3,radial,3,scale,0,0.001,0.5,TRUE,200,0.05,0,0.0
PizzaCutter1,linear,3,scale,0,0.001,0.5,TRUE,200,0.1,0,0.10864197530864197
PizzaCutter1,polynomial,3,scale,0,0.001,0.5,TRUE,200,0.1,0,0.2144638403990025
