Filename,store_precision,assume_centered,support_fraction,contamination,Parameter_Iteration,R0,R1,R2,R3,R4,R5,R6,R7,R8,R9
KnuggetChase3,TRUE,FALSE,None,0.1,0,0.285714286,0.285714286,0.285714286,0.285714286,0.321428571,0.285714286,0.285714286,0.285714286,0.285714286,0.321428571
KnuggetChase3,FALSE,FALSE,None,0.1,0,0.285714286,0.285714286,0.285714286,0.285714286,0.285714286,0.285714286,0.285714286,0.285714286,0.285714286,0.285714286
KnuggetChase3,TRUE,TRUE,None,0.1,0,0.285714286,0.25,0.25,0.25,0.285714286,0.285714286,0.285714286,0.321428571,0.285714286,0.321428571
KnuggetChase3,TRUE,FALSE,0.1,0.1,0,0.25,0.357142857,0.25,0.285714286,0.285714286,0.357142857,0.285714286,0.321428571,0.321428571,0.285714286
KnuggetChase3,TRUE,FALSE,0.2,0.1,0,0.357142857,0.321428571,0.321428571,0.321428571,0.285714286,0.214285714,0.285714286,0.285714286,0.25,0.285714286
KnuggetChase3,TRUE,FALSE,0.3,0.1,0,0.321428571,0.285714286,0.285714286,0.142857143,0.25,0.25,0.285714286,0.25,0.321428571,0.321428571
KnuggetChase3,TRUE,FALSE,0.4,0.1,0,0.321428571,0.321428571,0.25,0.285714286,0.25,0.321428571,0.285714286,0.285714286,0.285714286,0.285714286
KnuggetChase3,TRUE,FALSE,0.5,0.1,0,0.285714286,0.285714286,0.285714286,0.321428571,0.285714286,0.321428571,0.25,0.285714286,0.321428571,0.285714286
KnuggetChase3,TRUE,FALSE,0.6,0.1,0,0.285714286,0.285714286,0.285714286,0.285714286,0.25,0.285714286,0.321428571,0.285714286,0.285714286,0.285714286
KnuggetChase3,TRUE,FALSE,0.7,0.1,0,0.285714286,0.285714286,0.321428571,0.285714286,0.321428571,0.321428571,0.285714286,0.321428571,0.285714286,0.25
KnuggetChase3,TRUE,FALSE,0.8,0.1,0,0.285714286,0.321428571,0.321428571,0.321428571,0.321428571,0.285714286,0.321428571,0.321428571,0.285714286,0.285714286
KnuggetChase3,TRUE,FALSE,0.9,0.1,0,0.321428571,0.321428571,0.321428571,0.285714286,0.321428571,0.321428571,0.321428571,0.321428571,0.321428571,0.285714286
KnuggetChase3,TRUE,FALSE,None,0.2,0,0.346666667,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.373333333,0.4
KnuggetChase3,TRUE,FALSE,None,0.3,0,0.404255319,0.404255319,0.404255319,0.382978723,0.404255319,0.382978723,0.404255319,0.361702128,0.382978723,0.404255319
KnuggetChase3,TRUE,FALSE,None,0.4,0,0.333333333,0.368421053,0.368421053,0.350877193,0.385964912,0.350877193,0.403508772,0.385964912,0.385964912,0.368421053
KnuggetChase3,TRUE,FALSE,None,0.5,0,0.37593985,0.360902256,0.37593985,0.360902256,0.37593985,0.360902256,0.360902256,0.360902256,0.360902256,0.360902256
KnuggetChase3,TRUE,FALSE,None,LOF,0,0.25,0.285714286,0.285714286,0.321428571,0.25,0.285714286,0.285714286,0.285714286,0.285714286,0.25
KnuggetChase3,TRUE,FALSE,None,IF,0,0.305084746,0.305084746,0.271186441,0.372881356,0.338983051,0.305084746,0.338983051,0.338983051,0.338983051,0.305084746
PieChart2,TRUE,FALSE,None,0.1,0,0.131868132,0.10989011,0.153846154,0.10989011,0.131868132,0.10989011,0.043956044,0.043956044,0.131868132,0.131868132
