n_estimators,max_samples,contamination,max_features,bootstrap,n_jobs,warm_start,F1_Median,F1_Range,ARI_Median
2,0,auto,1,FALSE,0,FALSE,0.247787658,0.167562621,0.192315464
4,0,auto,1,FALSE,0,FALSE,0.262087209,0.142790352,0.317200873
8,0,auto,1,FALSE,0,FALSE,0.276989239,0.124562633,0.442113855
16,0,auto,1,FALSE,0,FALSE,0.284414044,0.100820435,0.570913124
32,0,auto,1,FALSE,0,FALSE,0.291212347,0.070295458,0.653671354
64,0,auto,1,FALSE,0,FALSE,0.292439318,0.055393273,0.73873288
100,0.1,auto,1,FALSE,0,FALSE,0.287064315,0.043270569,0.690002821
100,0.2,auto,1,FALSE,0,FALSE,0.290804384,0.048685693,0.739953001
100,0.3,auto,1,FALSE,0,FALSE,0.296266633,0.043787482,0.75095464
100,0.4,auto,1,FALSE,0,FALSE,0.297350128,0.047346338,0.769246378
100,0.5,auto,1,FALSE,0,FALSE,0.295918989,0.04697257,0.765828802
100,0.6,auto,1,FALSE,0,FALSE,0.29500591,0.039071706,0.766041901
100,0.7,auto,1,FALSE,0,FALSE,0.291183264,0.052418225,0.766862384
100,0.8,auto,1,FALSE,0,FALSE,0.288896346,0.054658217,0.78984254
100,0.9,auto,1,FALSE,0,FALSE,0.286230416,0.054673099,0.778947832
100,1,auto,1,FALSE,0,FALSE,0.281753944,0.057131773,0.786222385
100,0,auto,0.1,FALSE,0,FALSE,0.296330932,0.07853913,0.744432025
100,0,auto,0.2,FALSE,0,FALSE,0.296175522,0.063492968,0.773318801
100,0,auto,0.3,FALSE,0,FALSE,0.295076103,0.068766038,0.789404557
100,0,auto,0.4,FALSE,0,FALSE,0.297000408,0.058638472,0.789016076
100,0,auto,0.5,FALSE,0,FALSE,0.295619534,0.048608922,0.813830629
100,0,auto,0.6,FALSE,0,FALSE,0.295585628,0.053262432,0.81335454
100,0,auto,0.7,FALSE,0,FALSE,0.29383343,0.056143516,0.806691705
100,0,auto,0.8,FALSE,0,FALSE,0.292679427,0.05034474,0.805909388
100,0,auto,0.9,FALSE,0,FALSE,0.294829888,0.066232382,0.802545346
100,0,auto,1,FALSE,1,FALSE,0.295421888,0.067124293,0.77832765
100,0,auto,1,FALSE,0,FALSE,0.294403625,0.061235401,0.782751211
100,0,auto,1,FALSE,0,TRUE,0.293784463,0.057346898,0.777464184
100,0,auto,1,TRUE,0,FALSE,0.287817739,0.034482881,0.777973913
128,0,auto,1,FALSE,0,FALSE,0.293884629,0.065628863,0.805458748
256,0,auto,1,FALSE,0,FALSE,0.295569206,0.039462309,0.849972518
512,0.1,auto,0.7,FALSE,0,FALSE,0.287278718,0.02226817,0.823474962
512,0.1,auto,1,FALSE,0,FALSE,0.287815868,0.02328018,0.853107868
512,0.2,auto,0.7,FALSE,0,FALSE,0.292803795,0.022575587,0.892556415
512,0.2,auto,1,FALSE,0,FALSE,0.292513811,0.024984654,0.86763117
512,0.3,auto,0.7,FALSE,0,FALSE,0.297672814,0.023175186,0.910590206
512,0.3,auto,1,FALSE,0,FALSE,0.297888331,0.026393352,0.889847551
512,0.4,auto,0.7,FALSE,0,FALSE,0.300108683,0.031456949,0.915958059
512,0.4,auto,1,FALSE,0,FALSE,0.299233658,0.026043581,0.873855101
512,0.5,auto,0.7,FALSE,0,FALSE,0.297658704,0.027200148,0.919566191
512,0.5,auto,1,FALSE,0,FALSE,0.29607268,0.021466103,0.888501513
512,0.6,auto,0.7,FALSE,0,FALSE,0.295631501,0.028791209,0.919926394
512,0.6,auto,1,FALSE,0,FALSE,0.294922056,0.020390184,0.891447079
512,0.7,auto,0.7,FALSE,0,FALSE,0.295369824,0.030068809,0.919365068
512,0.7,auto,1,FALSE,0,FALSE,0.292614804,0.030997955,0.891102918
512,0.8,auto,0.7,FALSE,0,FALSE,0.292715429,0.0305604,0.924961655
512,0.8,auto,1,FALSE,0,FALSE,0.289806789,0.023830635,0.892307908
512,0.9,auto,0.7,FALSE,1,FALSE,0.291035658,0.029389616,0.924056365
512,0.9,auto,0.7,FALSE,0,FALSE,0.289739698,0.027307859,0.926627079
512,0.9,auto,0.7,FALSE,0,TRUE,0.290267405,0.025594586,0.925251776
512,0.9,auto,0.7,TRUE,0,FALSE,0.285198308,0.021222472,0.89809702
512,0.9,auto,1,FALSE,0,FALSE,0.287405038,0.030972914,0.894656519
512,1,auto,0.7,FALSE,0,FALSE,0.287514651,0.032882884,0.928950693
512,1,auto,1,FALSE,0,FALSE,0.283772446,0.027683604,0.898090172
512,0,auto,0.1,FALSE,0,FALSE,0.300280462,0.057095589,0.882046287
512,0,auto,0.2,FALSE,0,FALSE,0.298282569,0.033611432,0.89542218
512,0,auto,0.3,FALSE,0,FALSE,0.299161973,0.049329549,0.90715261
512,0,auto,0.4,FALSE,0,FALSE,0.298930286,0.027393399,0.912864004
512,0,auto,0.5,FALSE,0,FALSE,0.299681764,0.03054031,0.914218085
512,0,auto,0.6,FALSE,0,FALSE,0.298291918,0.035498871,0.91721271
512,0,auto,0.7,FALSE,1,FALSE,0.298441195,0.030969239,0.920080991
512,0,auto,0.7,FALSE,0,FALSE,0.297075141,0.026397624,0.921324184
512,0,auto,0.7,FALSE,0,TRUE,0.296886618,0.031329985,0.920393371
512,0,auto,0.7,TRUE,0,FALSE,0.287989482,0.020852463,0.897238863
512,0,auto,0.8,FALSE,0,FALSE,0.297196464,0.033469154,0.922169962
512,0,auto,0.9,FALSE,0,FALSE,0.297829397,0.032481993,0.923387657
512,0,auto,1,FALSE,1,FALSE,0.296325929,0.026263375,0.890435055
512,0,auto,1,FALSE,0,FALSE,0.296707032,0.022985732,0.894475755
512,0,auto,1,FALSE,0,TRUE,0.297757778,0.029573663,0.899065468
512,0,auto,1,TRUE,0,FALSE,0.290266212,0.023463221,0.889690678
