kernel,degree,gamma,coef0,tol,nu,shrinking,cache_size,max_iter,F1_Median
rbf,3,scale,0,1.00E-05,0.5,FALSE,50,50,0.241913472
rbf,3,scale,0,1.00E-05,0.5,FALSE,100,50,0.241913472
rbf,3,scale,0,1.00E-05,0.5,FALSE,200,50,0.241913472
rbf,3,scale,0,1.00E-05,0.5,FALSE,400,50,0.241913472
rbf,3,scale,0,1.00E-05,0.5,TRUE,50,50,0.241913472
rbf,3,scale,0,1.00E-05,0.5,TRUE,100,50,0.241913472
rbf,3,scale,0,1.00E-05,0.5,TRUE,200,50,0.241913472
rbf,3,scale,0,1.00E-05,0.5,TRUE,400,50,0.241913472
rbf,3,scale,0,0.0001,0.5,TRUE,200,50,0.241913472
rbf,3,scale,0,0.001,0.5,FALSE,200,50,0.241874486
rbf,3,scale,0,0.001,0.5,TRUE,50,50,0.241874486
rbf,3,scale,0,0.001,0.5,TRUE,100,50,0.241874486
rbf,3,scale,0,0.001,0.5,TRUE,200,50,0.241874486
rbf,3,scale,0,0.001,0.5,TRUE,400,50,0.241874486
rbf,3,scale,0,0.001,0.2,TRUE,200,-1,0.240782716
rbf,3,scale,0,0.001,0.3,TRUE,200,-1,0.233714329
rbf,3,scale,0,1.00E-05,0.2,FALSE,50,50,0.230758548
rbf,3,scale,0,1.00E-05,0.2,FALSE,200,50,0.230758548
rbf,3,scale,0,1.00E-05,0.2,TRUE,200,50,0.230758548
rbf,3,scale,0,0.001,0.2,TRUE,200,50,0.230717571
rbf,3,scale,0,0.001,0.5,TRUE,200,150,0.228911906
rbf,3,scale,0,1.00E-05,0.4,FALSE,50,50,0.228831711
rbf,3,scale,0,1.00E-05,0.4,FALSE,200,50,0.228831711
rbf,3,scale,0,1.00E-05,0.4,TRUE,200,50,0.228831711
rbf,3,scale,0,0.001,0.4,TRUE,200,-1,0.228394947
rbf,3,scale,0,0.001,0.4,TRUE,200,50,0.228305485
rbf,3,scale,0,0.001,0.5,TRUE,200,250,0.227755293
rbf,3,scale,0,0.001,0.5,TRUE,200,300,0.227522866
rbf,3,scale,0,0.001,0.5,TRUE,200,200,0.226991338
rbf,3,scale,0,1.00E-05,0.3,FALSE,50,50,0.226881579
rbf,3,scale,0,1.00E-05,0.3,FALSE,200,50,0.226881579
rbf,3,scale,0,1.00E-05,0.3,TRUE,200,50,0.226881579
rbf,3,scale,0,0.01,0.5,TRUE,200,50,0.226068287
rbf,3,scale,0,0.1,0.5,TRUE,200,50,0.225578625
rbf,3,scale,0,0.001,0.5,TRUE,200,100,0.225442634
rbf,3,scale,0,0.001,0.3,TRUE,200,50,0.224985592
rbf,3,scale,0,0.001,0.5,TRUE,50,-1,0.21965488
rbf,3,scale,0,0.001,0.5,TRUE,100,-1,0.21965488
rbf,3,scale,0,0.001,0.5,TRUE,200,-1,0.21965488
rbf,3,scale,0,0.001,0.5,TRUE,400,-1,0.21965488
rbf,3,scale,0,0.001,0.5,FALSE,200,-1,0.219654423
rbf,3,scale,0,0.0001,0.5,TRUE,200,-1,0.219187291
rbf,3,scale,0,0.1,0.5,TRUE,200,-1,0.219069489
rbf,3,scale,0,1.00E-05,0.5,TRUE,200,-1,0.218647535
rbf,3,scale,0,0.01,0.5,TRUE,200,-1,0.217968892
rbf,3,scale,0,1.00E-05,0.7,FALSE,50,50,0.217508069
rbf,3,scale,0,1.00E-05,0.7,FALSE,200,50,0.217508069
rbf,3,scale,0,1.00E-05,0.7,TRUE,200,50,0.217508069
rbf,3,scale,0,0.001,0.7,TRUE,200,50,0.217508069
rbf,3,scale,0,1.00E-05,0.6,FALSE,50,50,0.21690671
rbf,3,scale,0,1.00E-05,0.6,FALSE,200,50,0.21690671
rbf,3,scale,0,1.00E-05,0.6,TRUE,200,50,0.21690671
rbf,3,scale,0,0.001,0.6,TRUE,200,50,0.21690671
rbf,3,scale,0,0.001,0.6,TRUE,200,-1,0.213932019
rbf,3,scale,0,0.001,0.1,TRUE,200,-1,0.211871005
rbf,3,scale,0,1.00E-05,0.9,FALSE,50,50,0.211115962
rbf,3,scale,0,1.00E-05,0.9,FALSE,200,50,0.211115962
rbf,3,scale,0,1.00E-05,0.9,TRUE,200,50,0.211115962
rbf,3,scale,0,0.001,0.9,TRUE,200,50,0.210608483
rbf,3,scale,0,1.00E-05,0.8,FALSE,50,50,0.20950036
rbf,3,scale,0,1.00E-05,0.8,FALSE,200,50,0.20950036
rbf,3,scale,0,1.00E-05,0.8,TRUE,200,50,0.20950036
rbf,3,scale,0,0.001,0.8,TRUE,200,50,0.209426125
rbf,3,scale,0,0.001,0.7,TRUE,200,-1,0.20843886
rbf,3,scale,0,0.001,0.8,TRUE,200,-1,0.206793547
rbf,3,scale,0,0.001,0.9,TRUE,200,-1,0.203263118
rbf,3,auto,0,0.001,0.5,TRUE,200,-1,0.202595662
rbf,3,scale,0,0.001,0.1,TRUE,200,50,0.195770103
rbf,3,scale,0,1.00E-05,0.1,FALSE,50,50,0.193551006
rbf,3,scale,0,1.00E-05,0.1,FALSE,200,50,0.193551006
rbf,3,scale,0,1.00E-05,0.1,TRUE,200,50,0.193551006
linear,3,scale,0,1.00E-05,0.5,FALSE,50,50,0.168177532
linear,3,scale,0,1.00E-05,0.5,FALSE,200,50,0.168177532
linear,3,scale,0,1.00E-05,0.5,TRUE,200,50,0.168177532
linear,3,scale,0,0.001,0.5,TRUE,200,50,0.168177532
poly,3,scale,0,0.001,0.5,TRUE,200,50,0.162269973
poly,3,scale,0,1.00E-05,0.5,FALSE,50,50,0.160876412
poly,3,scale,0,1.00E-05,0.5,FALSE,200,50,0.160876412
poly,3,scale,0,1.00E-05,0.5,TRUE,200,50,0.160876412
poly,3,scale,0,0.001,0.5,TRUE,200,-1,0.14975005
sigmoid,3,scale,0,0.001,0.5,TRUE,200,-1,0.146400898
linear,3,scale,0,0.001,0.5,TRUE,200,-1,0.145623242
sigmoid,3,scale,0,0.001,0.5,TRUE,200,50,0.144457869
sigmoid,3,scale,0,1.00E-05,0.5,FALSE,50,50,0.143860498
sigmoid,3,scale,0,1.00E-05,0.5,FALSE,200,50,0.143860498
sigmoid,3,scale,0,1.00E-05,0.5,TRUE,200,50,0.143860498
